"sample","Astrocyte","Oligodendrocyte","Mphage/Microglia","Neuron","Endothelial","Ependymal","OPC","Radial Glia","Plasma B cell","Eosino-/Neutrophils","T Cells/NK Cells"
"P260v1",-0.0326160416783518,-0.0241649899567596,-0.0385205535409059,0.04856678293684,-0.0123954082226321,-0.00804304623576574,0.0116285341072788,0.0413384576268858,-0.064528912416327,-0.0315430871886131,-0.0197657602396139
"P260v2",-0.0546712889753347,-0.0208771738245555,-0.0518420521477413,0.0332511502912954,-0.0498349645111457,-0.00900205755528652,0.0992727640876152,0.0662642654445983,-0.0692273734426748,-0.0273339561168737,-0.0303492252398704
"P260v3",-0.0568520891499927,-0.0250600402756549,-0.0505818238418063,0.0443143507658483,-0.0407049443711483,-0.00863116585476443,0.0624900150913371,0.0612436428204742,-0.070992539336365,-0.0312237606087963,-0.0191016893968223
"P260v4",-0.0392488887074814,-0.0176979722982782,-0.0429876651663426,0.0576991731728298,-0.0208888128286269,-0.00828998279212911,0.0165478432376819,0.0467124274466623,-0.060260662596105,-0.0304645599574694,-0.0226102406024291
"P260v5",-0.0381072727810511,-0.021111716721724,-0.0377913679571885,0.0432437485899042,0.00540449403751772,-0.00822191338074232,0.00596980437172075,0.0399722413632615,-0.0583211735113981,-0.0297304420830636,-0.0155538826948636
"P260v6",-0.0588779605943382,-0.0162283210852349,-0.0445581589413845,0.0359015366824835,-0.0440968323517782,-0.00882300884792708,0.0657978523609159,0.0592497950493264,-0.0726871208568466,-0.0206184287890783,-0.0205962072472181
"P260v7",-0.0559162432590697,-0.0165954881777702,-0.0477609547319048,0.0304136789745796,-0.0332695134262472,-0.00977906068340126,0.114336403572327,0.0620134873909064,-0.0730174564966589,-0.0190822196357677,-0.0282162197505877
"P260v8",-0.0595599005639577,-0.0252446993931784,-0.0274142698558781,0.0132358427849806,-0.049677035469918,-0.00950083411140319,0.0765091166786717,0.071822365611357,-0.0622790627300647,-0.0112939222827986,-0.0182629521456943
"P260v9",-0.0579714798878123,-0.0274176071387333,-0.0466057889516678,0.0212002125694762,-0.0554494832456813,-0.0086196010889649,0.10578502581131,0.0786188979577445,-0.0664171390328799,-0.0219977041910863,-0.0165930211536325
"P260v10",-0.0579666334074389,-0.0249783122562398,-0.0355503769183157,0.0111546963833231,-0.0534161913203672,-0.00717980963944449,0.101730774668481,0.0737584314853693,-0.0600381578133649,-0.011249553585854,-0.011958635616882
"P260v11",0.0274942615286473,0.0123814831360923,-0.0343405200549179,0.141394112400872,0.115288850715555,-0.00770568192152968,-0.0290774226351648,0.0405876021484319,-0.0380938454998973,-0.0373597806646249,-0.0273683407503664
"P260v12",-0.078344910446312,-0.0394613235122811,-0.0537180598467512,0.0443814202388615,-0.0683734884279608,-0.008956023668388,0.127669552683861,0.0974321762419799,-0.0773115484975485,-0.0177809088530318,-0.0126467203796097
"P260v13",-0.0714494340487546,-0.0407084475787965,-0.0604012114339607,0.060046190438986,-0.0569375399036778,-0.00665448132229272,0.128745383203279,0.0923007214737551,-0.0774349344337635,-0.0215276486435925,-0.00573233794590755
"P260v14",-0.0681744593280123,-0.0408229410259136,-0.069484332817079,0.0639827253950987,-0.084808261479029,-0.00827578192972802,0.115274818657071,0.0923897624711192,-0.0835801933677952,-0.0307420425352866,0.00781027970355165
"P260v15",-0.00224197150978816,0.00845590857816848,-0.0342801864958631,0.0662276552365355,0.0627069488325461,-0.00865698770738607,0.000974319652969229,0.0246431985661019,-0.0540691162536136,-0.031562837201553,-0.0242101923710946
"P260v17",0.0211884333872845,0.0314988144152458,-0.0365148504857876,0.0980648973848032,0.0177193515366434,-0.00345731269265974,-0.0420396507869294,0.0210803157428748,-0.0490056971647889,-0.0383781106473782,-0.0262811221405838
"P260v18",-0.0772101651367608,-0.0419011276673147,-0.0716084770864272,0.0799362565744495,-0.0752954922636941,-0.00978783628089308,0.120637526615876,0.0964663404516844,-0.088224067868488,-0.0335037940742401,-0.0044231180025487
"P260v19",-0.0736480589912687,-0.0135220991576799,-0.0554316902830458,0.0240240850354535,-0.0312577285313115,-0.00862942908754458,0.0884780078916935,0.100559593402493,-0.0858247800324959,-0.0170075867632338,-0.0158818515361099
"P260v20",-0.0493297257376116,0.0441967873925391,-0.0392194721296654,-0.00477730327765695,-0.00599090579767718,-0.00868404414775373,0.0272070762654616,0.0125628179821831,-0.0646837701754296,-0.0139487220346933,-0.0275664661524459
"P300v1",0.0740255157581586,-0.0246352893030378,-0.00414380228487288,-0.0112014925616381,-0.0140101192406097,-0.00284099866254173,-0.016771667170165,-0.0138316635990961,0.0170387586848704,-0.0326891343437289,-0.0187512804818239
"P300v4",0.0232654734858918,-0.00372518542772339,-0.0407704625792938,0.0636458510796998,-0.0300326186214583,-0.00254009597477264,-0.0221112189628507,0.0166618335166988,-0.0439648077269709,-0.0488212280399483,-0.0249505267476168
"P300v5",0.119512119056869,-0.0341512014885926,-0.0274548338368068,-0.00410846332174062,-0.0435290098175972,-0.00653194848822391,0.0395570115983251,0.000720291253527551,0.0560321106832048,-0.0377722373632225,-0.0306937425355263
"P300v6",0.0540805131931848,-0.0193608043233673,-0.0436654358466515,0.0350479783305933,0.00917710594699353,-0.00787838278592059,-0.00839046962602665,0.00517346786816165,-0.0383429284937114,-0.0496340703093691,-0.0278700960026483
"P300v7",0.0673614162605982,-0.0343054817368368,-0.021090980167081,-0.0138370963339056,-0.0323325202621474,-0.00487912303960973,-0.0131614508360702,-0.00263809078079455,0.053069751716117,-0.0441309951728512,-0.00615841016021738
"P300v8",0.0942245466643402,-0.0229139785803664,-0.0155155602055528,-0.0396354749105924,-0.00188746114718419,-0.00631481877292895,0.000358163698620031,-0.0152878749468978,0.0698071056091454,-0.0299538306597058,-0.0277888924179488
"P300v10",0.0900098582125622,-0.0179562987333614,-0.0283274492716538,-0.00443924695587895,-0.0515161679621301,-0.0020367664964191,0.0930621849200531,0.004161142004985,0.00677267721882143,-0.0307739679044894,-0.0290483326219066
"P302v1",0.0396929769737536,0.0220122127477591,-0.0406577786381294,0.0162583003721889,0.0707407264336657,-0.00820497185187429,0.00931692547867195,-0.0080714487428334,-0.0649713220782342,-0.0352617109700684,-0.0248653602449505
"P302v2",0.0579891674370114,-0.0348695349911005,-0.0583310438804223,0.0303280008416455,0.0374806271397402,-0.00889182875569883,0.125168327948302,0.0221366695737965,-0.0673002237130122,-0.0529381683643717,-0.0190594245723086
"P302v3",0.0572189156211374,0.0453544711897918,-0.0329647417951323,-0.00394490526193825,0.0275198680661579,-0.007366972085095,0.0149313976767792,-0.0140467658459444,-0.04211697444301,-0.0205492929853891,-0.0212221284644361
"P302v4",0.114455994714327,-0.0108010107666568,-0.0390895231968746,-0.00187680934611927,0.0537748459284448,-0.00939628508408443,0.0300315604935355,-0.000760577798800052,-0.04221102842426,-0.0410974341605919,-0.0258929792937393
"P302v5",0.00397099005030059,-0.0278669880183382,-0.0598761953046261,0.0404026957552459,0.145194434566778,-0.0091133614634889,0.0749801155194113,0.0241981981976574,-0.0840221484547502,-0.043715048050841,-0.00235696964553935
