Sample	lightcyan	brown4	brown	palevioletred2	yellowgreen	darkseagreen3	lavenderblush3	black	saddlebrown	pink
P303v1	0.223268453	-0.045616652	-0.039891102	-0.020838844	0.038804927	0.010881938	-0.031862494	-0.039158314	0.037007124	-0.005072827
P303v2	0.176428689	-0.042921497	-0.028412683	-0.005760248	0.045397693	0.010238427	0.020540347	-0.042602278	0.019715894	-0.020123158
P303v3	0.115400628	-0.041335936	-0.045343471	-0.027069805	0.014705815	-0.007285364	0.032834193	-0.032506209	0.006352028	-0.003463943
P303v4	0.117921678	-0.027667718	0.035377353	-0.014208771	0.009664876	0.005040482	0.001617662	-0.020249814	0.013586001	-0.033373063
P303v6	0.064464954	-0.033438512	0.011050808	-0.026260321	-0.020593141	-0.007280365	0.001423935	-0.034319026	0.016902125	-0.024316754
P303v8	0.073297366	-0.035951258	-0.009644273	-0.014713502	-0.04321235	-0.011068717	0.013324559	-0.036144401	0.022706795	-0.022553771
P303v9	0.159927812	-0.036066387	0.024682898	-0.018453427	-0.00874482	0.004399845	-0.023325006	-0.012247431	0.01980993	-0.036275873
P303v10	0.218852045	-0.036239882	-0.009535988	-0.003843529	0.044494853	-0.000951362	-0.000162519	-0.019528188	0.042737755	-0.039255071
P327v1	-0.010574037	-0.038215291	-0.041731089	-0.026809094	-0.041050396	0.034477878	0.022626332	-0.044686861	0.067914272	-0.022536307
P327v2	0.006590849	-0.037825859	-0.035915364	-0.029549282	-0.046035164	0.047040038	0.020125687	-0.045123664	0.064256516	-0.029115183
P327v3	0.007401645	-0.039827528	-0.049560967	-0.027792956	-0.043128129	0.025297964	0.029288884	-0.041208768	0.031654156	-0.010420801
P327v4	0.073183358	-0.043143795	-0.0583647	-0.02991831	-0.040044155	0.014535676	0.010135354	-0.040472514	0.010031958	-0.016413841
P327v5	0.011159622	-0.037803542	-0.030001555	-0.009570358	-0.032301976	0.013339813	-0.003758591	-0.035586582	0.036960864	-0.033120797
P327v6	-0.054563269	-0.0273077	-0.030691672	-0.024638867	0.0072043	0.044601552	0.055296699	-0.032923297	0.091410643	-0.005888111
P327v7	-0.009562811	-0.028612407	-0.011114834	-0.025326078	-0.008505287	0.026074802	0.009511315	-0.033001032	0.140627745	-0.039957887
P327v8	-0.0489028	-0.01231266	0.044228964	-0.010825875	0.026324023	0.019963055	0.007032578	0.0330863	0.116859285	-0.043721439
P327v9	0.032685032	-0.004145317	0.059395792	0.018463533	0.034738478	0.046155505	0.022019614	-0.003099655	0.05968797	-0.028721502
P327v10	-0.020560871	-0.024448836	0.010636155	-0.030106895	-0.037266538	0.025617194	0.006946123	0.022179297	0.0123584	-0.036964899
P375v1	0.047075365	-0.035668476	0.010636385	0.0235604	0.162361381	0.080725503	-0.051316725	-0.040044343	0.013588014	-0.029279947
P375v2	0.008765373	-0.049080567	-0.042627055	-0.013176426	0.071997481	0.100353109	-0.053720171	-0.04806232	0.029944185	-0.026808074
P375v3	0.025286836	-0.020020376	0.02262867	-0.01283266	0.034540818	0.071219038	-0.035100649	0.049834337	-0.002445245	-0.045084086
P375v4	0.039959467	-0.048065876	-0.036381851	-0.018641615	0.079400467	0.120800421	-0.050607716	-0.047538816	0.018037325	-0.024903876
P375v5	-0.01324258	-0.043496809	-0.047079955	-0.027552129	0.025685973	0.1132343	-0.040190079	-0.046985156	0.076983996	-0.02985795
P375v6	-0.018166205	-0.044004478	-0.036214873	-0.025331473	0.050247895	0.112878817	-0.047040308	-0.046529248	0.078230824	-0.028808901
P375v7	0.011396036	-0.047784079	-0.036684933	-0.026977988	0.094290942	0.125116817	-0.046384586	-0.046951892	0.017613927	-0.027876755
P375v8	-0.035172994	-0.01928063	0.050609804	-0.00528289	0.013790852	0.045898779	-0.039280268	0.067732077	-0.014578087	-0.042542518
P375v9	0.023247379	-0.043695325	-0.048486558	-0.020736161	0.058756865	0.10861678	-0.049716477	-0.048416603	0.031985931	-0.025860558
P375v10	-0.023108469	-0.042286302	-0.045274249	-0.0306387	0.020554737	0.115657577	-0.044314457	-0.046657717	0.125172974	-0.03162545
P453v1	-0.060371388	-0.047549897	-0.029226026	-0.026017496	0.112937902	0.16857427	0.185527945	0.127337126	-0.049829606	0.151382755
P453v2	-0.03199485	-0.036374097	-0.00078284	-0.027923972	0.188465282	0.155789392	0.21099794	0.115062758	-0.043692824	0.092520131
P453v3	-0.049624937	-0.045868533	-0.038745343	-0.032184183	0.211576411	0.228958189	0.347987724	-0.002372121	-0.01458418	0.261879145
P453v4	0.112706013	-0.039519549	-0.002533547	-0.023967953	0.001728988	0.081533231	-0.022482576	0.141150987	-0.035811881	-0.039451824
P453v5	0.223841651	-0.04537635	0.013555937	-0.032228466	0.012388978	0.02800223	-0.018040557	-0.026876954	-0.025019198	-0.02266091
P453v6	0.100950831	-0.029504551	0.075911713	-0.028960443	0.013198391	0.032146559	-0.000419413	0.004262968	0.054727723	-0.035488711
P453v7	0.064821284	-0.024234523	0.044486817	-0.026147652	-0.010973842	0.011137492	0.003156751	-0.031136736	0.075238227	-0.033910925
P453v8	-0.017652328	-0.019905465	0.055998125	-0.026491681	-0.004667007	0.026284054	0.020767893	0.023907384	0.070354351	-0.042442785
P453v9	0.177761175	-0.039466728	0.052757813	-0.025479362	0.003619026	0.061260682	-0.023006501	0.001048279	-0.019220562	-0.032976041
P453v10	0.109010267	-0.047756822	-0.018783303	-0.030834696	-0.060653231	0.038585465	-0.019030674	-0.034090633	-0.017740791	-0.021212084
P456v1	0.087997112	-0.030306368	-0.040943882	-0.028896708	-0.03370977	0.0124191	0.041103486	-0.035780482	-0.027212186	0.037214323
P456v2	0.099264456	0.020435168	0.074159497	-0.007859016	-0.025452633	-0.030241675	-0.014543977	-0.013800151	-0.014191295	-0.039300091
P456v3	-0.116936809	-0.051994943	-0.057818123	-0.031623151	0.077679566	0.116335587	0.142782662	0.089734014	-0.041077816	0.256139811
P456v4	0.12214566	0.027823054	0.179151146	0.015739611	-0.038590966	-0.03564274	-0.048644158	-0.021485501	-0.012711741	-0.049900443
P456v5	-0.045433892	0.368020514	0.123340711	0.011917948	-0.037136421	-0.064902394	0.01668227	-0.027360949	0.041321846	-0.032284463
P456v6	0.008802488	-0.031482508	-0.000610133	-0.031404235	0.020798851	0.021875412	0.013343918	0.125712571	-0.036085275	-0.016507602
P456v7	-0.036582655	0.034447158	0.126478834	0.096185941	-0.080468243	-0.046837695	-0.055096501	-0.015109656	0.050273743	-0.040635702
P456v8	-0.030871706	0.002518189	0.101372278	0.031910078	-0.032064366	-0.030626506	-0.043060606	-0.019280525	-0.012975104	-0.046760522
P456v9	-0.000287425	-0.032993094	-0.026839829	-0.028940658	-0.035976021	-0.003383373	0.010463534	-0.017592454	-0.029210119	0.03585484
P456v10	-0.009821549	-0.018565935	0.021373631	-0.014245815	-0.01992512	-0.026612432	0.00847181	0.01996763	0.03230719	-0.041838603
P300v1	-0.009577511	0.030163877	-0.005907435	-0.023307883	0.00180817	-0.017137786	0.035508439	-0.030256649	0.131594158	-0.01439597
P300v4	-0.00528534	-0.061735394	-0.053837704	-0.029309351	-0.000238397	0.055550477	0.089869153	-0.001940087	0.002352898	0.101487965
P300v5	-0.063930796	-0.050333802	-0.02512899	-0.009658383	0.008849344	-0.020536746	0.077144443	-0.041350629	0.104512639	-0.030589899
P300v6	-0.015206505	-0.059464368	-0.058152836	-0.030887781	0.073568654	0.039512279	0.113750432	-0.020798609	0.032386535	0.053700741
P300v7	0.046465951	-0.047078178	-0.014343639	-0.011872593	0.005031151	-0.00735476	0.054736972	-0.042711697	0.114360035	-0.037337273
P300v8	-0.045704955	-0.038259732	-0.016406396	-0.014095739	0.07290139	-0.018917405	0.041834544	-0.025457888	0.275779808	-0.04160154
P300v10	-0.03828424	-0.057245828	-0.034114367	-0.016289075	0.000463458	-0.034802155	0.012227916	-0.019482131	0.19441982	-0.029201567
P413v1	-0.023361195	0.000851095	-0.026759924	-0.003996567	-0.091996319	-0.10753463	-0.053265982	-0.056431948	0.037653792	-0.055186303
P413v2	0.061263714	0.013784908	0.018205341	0.030535217	0.071523704	-0.092102113	-0.037875588	-0.050919114	0.026387083	-0.059003707
P413v3	-0.035275996	0.042485357	0.048213458	0.031763688	-0.094108397	-0.10600408	-0.062159311	-0.056882221	0.048715625	-0.058679863
P413v4	-0.011932553	0.068640435	0.072276515	0.03593189	-0.081716911	-0.110960129	-0.064445656	-0.056897021	0.02882397	-0.057080477
P413v5	0.035844493	0.151438281	0.163564866	0.038845732	-0.000386151	-0.062936685	-0.049906458	-0.011094864	0.002070938	-0.050740624
P413v6	0.018462419	0.121891525	0.160292117	0.155126918	-0.055526579	-0.087146306	-0.045805988	-0.02869294	0.025641643	-0.063166154
P413v7	0.019042718	0.160067764	0.109342088	0.055562746	-0.090020424	-0.097788604	-0.047608054	-0.045001002	0.080210309	-0.062020831
P413v8	-0.021921439	0.123807903	0.100908746	0.050628351	-0.049742171	-0.107010896	-0.04811351	-0.053421881	0.059452983	-0.061787767
P413v10	-0.003311667	0.185807016	0.065432168	0.044518413	-0.071906004	-0.090634274	-0.039673197	-0.036407817	0.122377059	-0.060474441
P413surg	0.176760776	0.24562925	0.109403496	0.037068453	-0.072809752	-0.085731367	-0.064552709	-0.013722476	0.13281543	-0.06242913
P454v1	-0.053516431	-0.000812713	-0.040519372	-0.01886025	-0.059666173	-0.089463425	-0.058887389	-0.052809894	0.072297061	-0.054373521
P454v2	0.067144651	0.01815866	-0.037405162	-0.011278727	-0.089453595	-0.081954727	-0.055527747	-0.05739247	0.090894401	-0.058137577
P454v3	-0.054719952	0.290256658	-0.004062512	-0.00106651	-0.072009492	-0.106183886	-0.06976453	-0.055304761	0.037879429	-0.05133593
P454v4	0.004969112	0.113303617	0.050293577	0.008814458	-0.075193149	-0.10535087	-0.072943259	-0.056436106	0.049551989	-0.060294111
P454v5	0.131310631	0.012868456	-0.004723621	0.033768658	-0.064269088	-0.090773434	-0.073515082	-0.054616181	0.057953963	-0.059030888
P454v6	-0.068789827	0.264448998	-0.012486466	-0.001593861	-0.07262168	-0.104821578	-0.069637401	-0.054906521	0.044120826	-0.053692895
P454v7	-0.017875833	-0.010077824	-0.056472923	-0.023048453	-0.078037609	-0.091247919	-0.055635624	-0.054486163	0.070466274	-0.049094972
P454v8	-0.040987484	-0.025325942	-0.014217372	-0.024595658	0.065758554	0.06270823	0.146996818	0.042511126	-0.040730847	0.145404577
P454v9	-0.002287503	-0.026680836	-0.035580891	-0.023569041	0.005664597	-0.041671043	0.028045105	-0.014636164	-0.014217149	0.032095145
P454v10	-0.035038635	-0.001838981	-0.035468325	-0.016704722	-0.058412002	-0.102051975	-0.066531698	-0.054423655	0.07044433	-0.055951093
P455v1	-0.011805318	-0.034904559	-0.03742659	-0.02325054	0.03991289	0.090323335	0.175520676	0.016987415	-0.02087428	0.162838457
P455v2	-0.059122703	-0.026283359	0.034672746	0.015640144	0.0426879	0.130947567	-0.034775754	0.245745431	-0.060889371	-0.034653301
P455v3	-0.037213496	0.012762057	0.134870245	0.029033659	-0.042802979	-0.055724306	-0.072207757	-0.017409496	-0.062347552	-0.02696034
P455v4	-0.057015904	0.001911797	0.12514358	0.02661105	-0.067307613	-0.065948696	-0.073493844	-0.033621152	-0.058294085	-0.018839131
P455v5	-0.056606859	0.007127772	0.111457318	0.005624496	-0.08169877	-0.067054124	-0.075750383	-0.042038349	-0.033254732	-0.034301706
P455v6	0.028377684	0.059665913	0.200873073	0.087385608	-0.077000114	-0.081220887	-0.080675236	-0.042747384	-0.049955752	-0.052849061
P455v7	-0.086149485	-0.003500354	0.061878541	0.002031731	-0.083611701	-0.068316091	-0.073604251	-0.045132629	-0.055475259	-0.031197661
P455v8	-0.05172922	0.003931973	0.035983861	-0.001439004	-0.054191192	-0.056279456	-0.067677698	-0.02905185	-0.057014621	-0.017224705
P455v9	-0.024653645	0.038966808	0.152649547	0.019135016	-0.074811584	-0.073754253	-0.07507912	-0.036776819	-0.051768756	-0.043547826
P455v10	-0.094621439	-0.044360849	-0.052052513	-0.025187852	0.079870559	0.10782744	0.178270274	-0.005207943	-0.026088605	0.199961198
P457v2	-0.051810761	0.065896778	0.215604025	0.085307919	-0.079271354	-0.070834255	-0.052658768	0.047098561	-0.037631737	-0.056259038
P457v3	-0.072488718	-0.0066222	0.043590423	-0.014773298	-0.03672428	0.13879946	-0.040394467	0.320576365	-0.044739726	-0.042453668
P457v6	-0.063057934	0.01583725	0.17061462	0.025969778	-0.033073925	0.092325351	-0.042038471	0.236963234	-0.06272031	-0.044412333
P457v8	-0.053812781	0.019279221	0.02823922	-0.00796568	-0.088007412	-0.109284551	-0.008479685	-0.052631201	0.007417664	-0.027710717
P457v9	0.110947484	0.029058159	-0.00180081	0.100960316	-0.107914868	-0.090773877	-0.041447511	-0.047632287	0.069165433	-0.053717636
P457v10	-0.01941998	0.032007981	0.064337925	0.021368685	-0.097585902	-0.113888594	-0.0466714	-0.055723957	0.030890184	-0.046336287
P452v1	0.138727896	-0.028348351	-0.072534655	-0.026563794	-0.056291364	-0.024763824	-0.082960406	-0.039786904	-0.043967955	-0.006614797
P452v2	-0.051332364	0.024468826	-0.055884451	-0.002512691	-0.05621259	0.023693326	-0.073750989	-0.041438642	-0.059729688	-0.012218743
P452v3	0.048001148	0.016648141	-0.060760868	-0.01093055	-0.08542578	0.029330989	-0.076904284	-0.046914657	-0.051601979	-0.01729033
P452v4	-0.038816719	0.051695417	-0.033253698	-0.022075236	-0.041079573	0.030572999	-0.053792662	-0.034226944	-0.067664401	0.005161985
P452v5	0.014605212	0.076736463	-0.044014385	-0.019331548	-0.042082132	0.063748472	-0.048518208	-0.036279517	-0.056744858	-0.001762366
P452v6	-0.036424703	-0.026719983	-0.062294478	-0.027425737	-0.033741774	0.058305968	0.036111219	-0.031797775	-0.063873387	0.067001156
P452v7	-0.003034804	0.020193645	-0.011334319	-0.012187949	-0.035988897	0.057455432	-0.045165099	-0.032552643	-0.056567025	0.01266217
P452v8	0.075416571	0.060945267	0.011568279	-0.001777995	-0.058933687	0.043259438	-0.068516364	-0.030854393	-0.041791813	-0.03539843
P452v9	-0.043626429	0.0372381	-0.035188839	-0.015863726	-0.006164492	0.044309018	-0.026820544	-0.033673539	-0.060613819	0.011734886
P452v10	-0.025130045	0.039047209	-0.031499298	-0.02013002	-0.041608471	-0.037965998	-0.043345271	-0.027789399	-0.074923926	-0.000492004
P260v1	-0.007009126	-0.053520888	-0.04833536	-0.027827666	0.009224159	0.002726556	0.037594218	-0.026009431	-0.061274681	0.076590617
P260v2	-0.065081876	-0.049151979	-0.060655557	-0.030614355	-0.036364709	-0.036985701	-0.041678757	-0.021564324	-0.068809546	0.028737976
P260v3	-0.009104652	-0.058062732	-0.060731443	-0.028364956	-0.031768853	-0.026571124	-0.032979039	-0.027603156	-0.070243224	0.049763385
P260v4	-0.027920918	-0.054309764	-0.053763038	-0.032422101	-0.010582901	0.003542222	0.01109392	-0.019298346	-0.066615384	0.088955482
P260v5	-0.001078884	-0.054518643	-0.049130508	-0.029841924	0.001487923	0.000639289	0.029249812	-0.023942527	-0.067689322	0.067594387
P260v6	-0.032817182	-0.038419406	-0.050535597	-0.02696765	-0.04641635	-0.040580657	-0.056478961	-0.017128786	-0.072970579	0.011458961
P260v7	-0.062534757	-0.051883733	-0.054810302	-0.027766594	-0.028757521	-0.046944833	-0.061385073	-0.016094727	-0.072549035	-0.000389253
P260v8	-0.02503867	-0.037666236	-0.025514272	-0.024428675	-0.054914061	-0.057271759	-0.083385626	-0.028966248	-0.068480785	-0.026705886
P260v9	-0.035256798	-0.042316799	-0.04633775	-0.02992496	-0.057714288	-0.058003395	-0.078908617	-0.031349973	-0.069700254	-0.021504758
P260v10	-0.015739036	-0.03563791	-0.034851543	-0.025580859	-0.061476731	-0.063223163	-0.082159905	-0.029150108	-0.068861674	-0.025423057
P260v11	-0.080354136	-0.053564725	-0.049702301	-0.031702065	0.161856791	0.103567974	0.190333145	0.011037348	-0.038168871	0.208263148
P260v12	-0.01061589	-0.053215339	-0.055955401	-0.032655702	-0.073647496	-0.065828733	-0.085570881	-0.046975265	-0.073440007	-0.014135488
P260v13	0.016108211	-0.059269116	-0.066078312	-0.028447645	-0.06873073	-0.053636542	-0.086200964	-0.049191517	-0.074863913	-0.009241165
P260v14	0.078977981	-0.061666828	-0.074315677	-0.028408514	-0.081921949	-0.04179149	-0.08568188	-0.049229428	-0.072878644	-0.00890933
P260v15	-0.04940759	-0.053210715	-0.048285237	-0.029731333	0.088783425	0.04963825	0.124788698	0.012021069	-0.061797672	0.094628065
P260v17	-0.069294577	-0.05177034	-0.04418687	-0.030443229	0.059054979	0.081177173	0.119688862	0.038765588	-0.042701997	0.172573461
P260v18	0.022390709	-0.065540792	-0.077711111	-0.025970553	-0.066003571	-0.055180757	-0.082245342	-0.052403171	-0.049511427	-0.002838738
P260v19	-0.00519504	-0.057307321	-0.062587755	-0.029479921	-0.034711395	-0.06294154	-0.082821401	-0.013223706	-0.076856663	-0.022953102
P260v20	-0.027224595	-0.049380531	-0.043532813	-0.029079184	0.054025149	0.000594727	-0.015511337	0.076660475	-0.059302818	-0.009000367
P475v1	-0.056007968	-0.045847256	-0.059909252	-0.02302889	-0.098586699	-0.078972593	-0.057993256	-0.042631882	0.013842938	0.046091637
P475v2	0.164206616	-0.067459718	-0.07617335	-0.020341933	-0.08923279	-0.137719828	-0.088176438	-0.047685516	-0.0202101	0.030697031
P475v3	0.053119562	-0.028761353	-0.070448396	-0.023542522	-0.094772288	-0.126328482	-0.068402749	-0.050334054	0.255955629	0.001404208
P475v4	0.011711868	0.008712751	0.103531548	0.010791346	0.065153822	0.042092477	-0.009774962	0.18432736	-0.060432276	-0.030616719
P475v5	0.014697286	0.0342278	0.001349618	0.035364748	-0.068921997	-0.103101638	-0.050554992	-0.051866807	0.476150619	-0.047248218
P475v6	0.062377336	-0.008760686	0.199499675	0.854370658	-0.015152945	-0.002119873	-0.082265331	0.056795045	-0.065364035	-0.020170676
P475v7	-0.056426866	0.012498908	0.204508681	0.031588422	0.035644167	0.057420623	-0.067494227	0.24664279	-0.063383837	-0.054627932
P475v8	0.022173881	0.057267019	0.307565598	0.093327118	-0.015254808	-0.003764991	-0.07735862	0.151978493	-0.063580192	-0.057469554
P481v1	-0.068420756	0.010380489	-0.026016967	-0.018045437	0.056400536	0.119510658	0.116738682	0.125294112	-0.037626136	0.177621438
P481v2	-0.085619409	0.060860979	0.062668899	0.018681966	-0.072662401	-0.081891357	0.000409484	-0.026424476	-0.012034403	-0.032663196
P481v3	-0.077633077	0.090093546	0.083090306	0.032305356	0.028206821	0.001275287	0.002853593	0.179753589	-0.057693491	-0.020478513
P481v4	-0.038428221	0.048607277	0.035550474	0.001091716	-0.106125691	-0.09793679	-0.002624167	-0.045393158	0.04672572	-0.053946122
P481v5	-0.017584225	0.067097717	0.070304151	0.019373166	-0.074666698	-0.065443873	-0.008307257	-0.016275591	-0.004816381	-0.038073717
P481v6	-0.084776618	0.102599388	0.12094981	0.054510646	-0.066173285	-0.009444579	-0.063284079	0.194714077	-0.032118347	-0.05347983
P481v7	-0.076634833	0.118055796	0.087420067	0.035009917	-0.025788983	0.032583083	-0.059249012	0.277854376	-0.043273033	-0.051401256
P481v8	0.025221529	0.002894681	-0.000110415	0.003843147	-0.104456942	-0.110994756	-0.040633089	-0.051262634	0.047795724	-0.054263061
P481v10	-0.078702296	0.196052533	0.105102538	0.02750314	-0.094460967	-0.012436998	-0.062917393	0.196723718	-0.012487138	-0.052817809
P482v1	0.07095498	-0.023808587	0.00229088	0.019690992	0.356828013	0.100614345	0.04341067	0.081558527	-0.058309152	-0.026758948
P482v2	0.076286789	-0.044451987	-0.037166854	-0.024164272	-0.002865292	0.090372587	-0.003065933	-0.037245007	-0.042047953	-0.026045598
P482v3	-0.018880255	-0.017323931	0.008580441	-0.019584703	0.084462784	0.019085984	-0.014418597	-0.020410363	-0.050509711	-0.030459952
P482v4	-0.003980986	-0.025784487	-0.007103184	-0.019512232	0.032531734	0.033589281	0.02041631	-0.036419226	-0.049884598	-0.032670876
P482v5	0.04155432	-0.022025041	0.009235336	-0.017339029	0.019666812	0.024368158	-0.017680768	-0.036515776	-0.047917896	-0.026853429
P482v6	-0.003529384	-0.021897131	-0.007009527	-0.015106296	0.106734674	0.033992432	-0.032241406	0.094298592	-0.059016532	-0.040157538
P482v7	-0.025097347	-0.031941041	-0.025022013	-0.02661244	0.029670836	0.032411891	0.015347957	-0.027498597	-0.043357002	-0.033173414
P482v8	0.000998458	-0.017503036	-0.001232692	-0.020682799	-0.014600755	0.033289359	-0.020607155	-0.008327289	-0.029509938	-0.039514865
P482v9	0.045139818	-0.036843073	-0.019600031	-0.024929942	0.113721278	0.017557471	-0.032643577	0.048650773	-0.047884192	-0.045438087
P482v10	0.085963696	-0.033968857	-0.031065972	-0.02425742	0.018520788	0.0349681	-0.026125209	0.008365442	-0.034341442	-0.041379957
P485v1	-0.117559848	-0.05195181	-0.063196611	-0.029506427	0.062041224	0.142321112	0.091933072	0.077901115	-0.035623971	0.30188125
P485v2	-0.038827314	0.02830663	0.050877677	-0.012911307	-0.016802942	0.061403482	-0.035040469	0.219045805	-0.046241429	-0.047973355
P485v3	-0.10912991	-0.053098585	-0.058870443	-0.031729501	0.066738207	0.147228404	0.094688069	0.080571206	-0.038080977	0.292990443
P485v4	-0.042787898	0.339314898	0.068636812	0.126677321	-0.031064375	-0.0900769	-0.046733271	-0.052487747	0.132496446	-0.057591086
P485v5	-0.069793417	0.014199978	-0.016631064	-0.003633102	-0.066443096	-0.105604969	-0.054703968	-0.054313605	0.033699677	-0.048202351
P485v6	-0.004251826	0.118563012	0.179780266	0.083677111	-0.043143427	-0.086601188	-0.046631919	-0.045631568	0.086430558	-0.058352278
P485v7	0.009352588	0.23493308	0.070684942	0.10852506	-0.04193746	-0.081129476	-0.03657952	-0.052387584	0.139440713	-0.058913477
P485v8	-0.077247074	-0.047187446	-0.049061535	-0.025514159	0.042917282	0.134681553	0.083426599	0.105894132	-0.043569362	0.221393617
P485v9	0.009208165	0.050871495	0.039732996	0.025565591	-0.064743723	-0.096049348	-0.065114112	-0.055330377	0.10310327	-0.060344177
P485v10	-0.01413975	0.121763789	0.143214367	0.101591136	-0.048264966	-0.084045234	-0.046741079	-0.033903282	0.015725512	-0.058098489
P41V	-0.073162291	-0.046443882	-0.05512025	-0.028936322	0.057406212	-0.044661168	0.011824681	0.016489722	-0.016634145	0.000405848
P41P	-0.068129297	-0.044108783	-0.039708291	-0.026072891	0.099687711	0.011606185	-0.005446708	0.143691639	-0.02878579	-0.016647756
P41Y	-0.108686808	-0.040139265	-0.072671454	-0.028837274	0.211155221	-0.072459902	0.038579011	-0.039041628	-0.020008269	0.009128976
P41G	-0.104957764	-0.039586518	-0.071777568	-0.029567318	0.155128468	-0.06090289	0.04423049	-0.035308573	-0.017829857	0.008195151
