Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient303	1	Primaryv1	0.7857	0.0428	0.8713	0.7001	TRUE
Patient303	1	Primaryv10	0.8113	0.0422	0.8957	0.7269	TRUE
Patient303	1	Primaryv2	0.8352	0.0415	0.9182	0.7522	TRUE
Patient303	1	Primaryv3	0.7566	0.0437	0.844	0.6692	TRUE
Patient303	1	Primaryv4	0.8127	0.0439	0.9005	0.7249	TRUE
Patient303	1	Primaryv5	0.7296	0.0489	0.8274	0.6318	TRUE
Patient303	1	Primaryv6	0.765	0.0416	0.8482	0.6818	TRUE
Patient303	1	Primaryv7	0.8449	0.0439	0.9327	0.7571	TRUE
Patient303	1	Primaryv8	0.9212	0.0401	1.0014	0.841	TRUE
Patient303	1	Primaryv9	0.7775	0.0441	0.8657	0.6893	TRUE
Patient303	2	Primaryv1	0.0011	0.0036	0.0083	-0.0061	FALSE
Patient303	2	Primaryv10	8e-04	0.0029	0.0066	-0.005	FALSE
Patient303	2	Primaryv2	0.0011	0.0035	0.0081	-0.0059	FALSE
Patient303	2	Primaryv3	0.0011	0.0036	0.0083	-0.0061	FALSE
Patient303	2	Primaryv4	0.1725	0.0308	0.2341	0.1109	FALSE
Patient303	2	Primaryv5	0.274	0.0413	0.3566	0.1914	FALSE
Patient303	2	Primaryv6	0.0053	0.0069	0.0191	-0.0085	FALSE
Patient303	2	Primaryv7	0.0011	0.0035	0.0081	-0.0059	FALSE
Patient303	2	Primaryv8	0.014	0.0081	0.0302	-0.0022	FALSE
Patient303	2	Primaryv9	0.0261	0.0124	0.0509	0.0013	FALSE
Patient303	3	Primaryv1	0.5685	0.0753	0.7191	0.4179	FALSE
Patient303	3	Primaryv10	0.5138	0.0661	0.646	0.3816	FALSE
Patient303	3	Primaryv2	0.5314	0.0718	0.675	0.3878	FALSE
Patient303	3	Primaryv3	0.6414	0.075	0.7914	0.4914	FALSE
Patient303	3	Primaryv4	0.6365	0.0755	0.7875	0.4855	FALSE
Patient303	3	Primaryv5	0.5487	0.0863	0.7213	0.3761	FALSE
Patient303	3	Primaryv6	0.396	0.0637	0.5234	0.2686	FALSE
Patient303	3	Primaryv7	0.4937	0.0682	0.6301	0.3573	FALSE
Patient303	3	Primaryv8	0.4869	0.0897	0.6663	0.3075	FALSE
Patient303	3	Primaryv9	0.4592	0.0689	0.597	0.3214	FALSE
Patient303	4	Primaryv1	0.0713	0.0233	0.1179	0.0247	FALSE
Patient303	4	Primaryv10	0.6497	0.0639	0.7775	0.5219	FALSE
Patient303	4	Primaryv2	0.0027	0.0058	0.0143	-0.0089	FALSE
Patient303	4	Primaryv3	0.0487	0.0189	0.0865	0.0109	FALSE
Patient303	4	Primaryv4	0.3197	0.0471	0.4139	0.2255	FALSE
Patient303	4	Primaryv5	0.458	0.0625	0.583	0.333	FALSE
Patient303	4	Primaryv6	0.4302	0.0526	0.5354	0.325	FALSE
Patient303	4	Primaryv7	0.0028	0.006	0.0148	-0.0092	FALSE
Patient303	4	Primaryv8	0.4807	0.051	0.5827	0.3787	FALSE
Patient303	4	Primaryv9	0.5925	0.0735	0.7395	0.4455	FALSE
Patient303	5	Primaryv1	0.126	0.0145	0.155	0.097	FALSE
Patient303	5	Primaryv10	0.0109	0.0029	0.0167	0.0051	FALSE
