p	R	label	x	y	m	b	color	patient
4.97e-01	-0.371	p=4.97e-01, rho=-0.371, y = 0x + 0.1	0	40	0	0.1	#FF0055FF	P49
9.16e-01	-0.016	p=9.16e-01, rho=-0.016, y = 0x + 0.23	0	41.5	0	0.23	#FF00AAFF	P457
3.06e-01	0.156	p=3.06e-01, rho=0.156, y = 0x + 0.18	0	43	0	0.18	#FF00FFFF	P455
3.78e-02	0.311	p=3.78e-02, rho=0.311, y = 0x + 0.02	0	44.5	0	0.02	#AA00FFFF	P454
3.34e-04	0.511	p=3.34e-04, rho=0.511, y = 0.02x + 0.03	0	46	0.02	0.03	#5500FFFF	P453
3.49e-01	0.143	p=3.49e-01, rho=0.143, y = 0x + 0.07	0	47.5	0	0.07	#0000FFFF	P452
2.69e-01	0.168	p=2.69e-01, rho=0.168, y = 0x + 0.06	0	49	0	0.06	#0055FFFF	P450
9.82e-01	0.004	p=9.82e-01, rho=0.004, y = 0x + 0.15	0	50.5	0	0.15	#00AAFFFF	P413
4.19e-01	-0.429	p=4.19e-01, rho=-0.429, y = -0.01x + 0.12	0	52	-0.01	0.12	#00FFFFFF	P41
5.74e-01	0.086	p=5.74e-01, rho=0.086, y = 0x + 0.13	0	53.5	0	0.13	#00FFAAFF	P375
6.51e-01	0.069	p=6.51e-01, rho=0.069, y = 0x + 0.16	0	55	0	0.16	#00FF55FF	P373
6.51e-01	-0.089	p=6.51e-01, rho=-0.089, y = 0x + 0.28	0	56.5	0	0.28	#00FF00FF	P372
2.11e-01	-0.19	p=2.11e-01, rho=-0.19, y = 0x + 0.41	0	58	0	0.41	#55FF00FF	P340
6.07e-01	-0.079	p=6.07e-01, rho=-0.079, y = 0x + 0.26	0	59.5	0	0.26	#AAFF00FF	P327
3.24e-01	0.15	p=3.24e-01, rho=0.15, y = 0.01x + 0.13	0	61	0.01	0.13	#FFFF00FF	P303
8.69e-01	-0.038	p=8.69e-01, rho=-0.038, y = 0x + 0.37	0	62.5	0	0.37	#FFAA00FF	P302
4.10e-01	-0.095	p=4.10e-01, rho=-0.095, y = 0x + 0.06	0	64	0	0.06	#FF5500FF	P300
9.60e-03	0.188	p=9.60e-03, rho=0.188, y = 0x + 0.15	0	65.5	0	0.15	#FF0000FF	P260
