,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
5118,GO:0014003,3.28395000215819e-09,0.99999999992813,7,38,oligodendrocyte development,BP,MAG;PLP1;MYRF;NKX6-2;SOX11;CNTN2;LPAR1
11118,GO:0043209,4.19553872848087e-09,0.999999999711985,11,158,myelin sheath,CC,CLDN11;MAG;SEPT4;PLP1;PACSIN1;HSPA2;GFAP;ERMN;MOBP;CNTN2;MBP
3706,GO:0007272,5.35412706705966e-09,0.999999999685922,10,113,ensheathment of neurons,BP,CLDN11;MAG;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
4056,GO:0008366,5.35412706705966e-09,0.999999999685922,10,113,axon ensheathment,BP,CLDN11;MAG;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
136,GO:0000280,1.92639617928375e-08,0.999999997556079,15,367,nuclear division,BP,KIFC1;ASPM;TPX2;BIRC5;MYBL2;NCAPG;CENPF;HSPA2;TOP2A;ESPL1;NUSAP1;MKI67;BUB1B;BUB1;UBE2C
7005,GO:0022010,5.42547882201332e-08,0.999999999344094,5,17,central nervous system myelination,BP,MAG;PLP1;MYRF;NKX6-2;CNTN2
8297,GO:0032291,5.42547882201332e-08,0.999999999344094,5,17,axon ensheathment in central nervous system,BP,MAG;PLP1;MYRF;NKX6-2;CNTN2
10780,GO:0042552,7.08161423249801e-08,0.999999995443516,9,111,myelination,BP,MAG;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
12992,GO:0048285,7.57531663243357e-08,0.999999989267283,15,407,organelle fission,BP,KIFC1;ASPM;TPX2;BIRC5;MYBL2;NCAPG;CENPF;HSPA2;TOP2A;ESPL1;NUSAP1;MKI67;BUB1B;BUB1;UBE2C
13186,GO:0048709,9.27479538796094e-08,0.999999995134171,8,87,oligodendrocyte differentiation,BP,MAG;PLP1;MYRF;DAAM2;NKX6-2;SOX11;CNTN2;LPAR1
13819,GO:0051301,1.29548047465317e-07,0.999999978037328,17,561,cell division,BP,KIFC1;ASPM;TPX2;BIRC5;SEPT4;NCAPG;FGF1;CENPF;PACSIN1;TOP2A;ESPL1;NUSAP1;SFRP2;BUB1B;BUB1;CDK1;UBE2C
18483,GO:0140014,1.29674219898121e-07,0.999999985571367,12,252,mitotic nuclear division,BP,KIFC1;TPX2;BIRC5;MYBL2;NCAPG;CENPF;ESPL1;NUSAP1;MKI67;BUB1B;BUB1;UBE2C
6890,GO:0021782,2.03142979762885e-07,0.999999988091498,8,92,glial cell development,BP,MAG;PLP1;MYRF;GFAP;NKX6-2;SOX11;CNTN2;LPAR1
19529,GO:1903047,2.10788003154473e-07,0.99999995690809,20,802,mitotic cell cycle process,BP,USH1C;KIFC1;MCM10;TPX2;BIRC5;MYBL2;SEPT4;NCAPG;FOXM1;CENPF;TOP2A;ESPL1;NUSAP1;DTL;MKI67;BUB1B;BUB1;CDK1;RRM2;UBE2C
6702,GO:0019911,2.37932908770321e-07,0.999999998368666,4,10,structural constituent of myelin sheath,MF,PLP1;MOBP;MAL;MBP
3759,GO:0007417,2.84048829109762e-07,0.999999938348786,21,870,central nervous system development,BP,ASPM;DCX;MAG;SEPT4;CENPF;PLP1;MYRF;GFAP;HAPLN2;MOG;SFRP2;DAAM2;NKX6-2;S100A1;KLK6;EMX2;MAL;SOX11;CNTN2;MBP;LPAR1
4659,GO:0010001,5.49621510924125e-07,0.999999945530659,10,190,glial cell differentiation,BP,MAG;PLP1;MYRF;GFAP;DAAM2;NKX6-2;CDK1;SOX11;CNTN2;LPAR1
135,GO:0000278,1.03598272221562e-06,0.999999755236765,21,971,mitotic cell cycle,BP,USH1C;KIFC1;MCM10;TPX2;BIRC5;MYBL2;SEPT4;NCAPG;FOXM1;CENPF;TOP2A;ESPL1;NUSAP1;DTL;MKI67;BUB1B;PBK;BUB1;CDK1;RRM2;UBE2C
310,GO:0000819,2.462939543838e-06,0.999999709664639,10,223,sister chromatid segregation,BP,KIFC1;BIRC5;NCAPG;CENPF;TOP2A;ESPL1;NUSAP1;BUB1B;BUB1;UBE2C
5125,GO:0014013,3.65824468504713e-06,0.999999744800446,7,98,regulation of gliogenesis,BP,MAG;GFAP;DAAM2;NKX6-2;CDK1;SOX11;CNTN2
7017,GO:0022402,4.99538274276575e-06,0.999998607245586,23,1257,cell cycle process,BP,USH1C;KIFC1;MCM10;ASPM;TPX2;BIRC5;MYBL2;SEPT4;NCAPG;FOXM1;CENPF;PACSIN1;HSPA2;TOP2A;ESPL1;NUSAP1;DTL;MKI67;BUB1B;BUB1;CDK1;RRM2;UBE2C
10540,GO:0042063,5.23725602727095e-06,0.99999932540219,10,244,gliogenesis,BP,MAG;PLP1;MYRF;GFAP;DAAM2;NKX6-2;CDK1;SOX11;CNTN2;LPAR1
