"","x"
"1","CHI3L1"
"2","SERPINA3"
"3","NNMT"
"4","IGFBP2"
"5","LTF"
"6","PDPN"
"7","TIMP1"
"8","POSTN"
"9","SOCS3"
"10","CHI3L2"
"11","PTPRT"
"12","SPOCD1"
"13","JPH3"
"14","EMP3"
"15","GALNT13"
"16","SPHKAP"
"17","CSMD3"
"18","SERPINE1"
"19","CUX2"
"20","CD163"
"21","ANXA1"
"22","ANXA2"
"23","SNAP91"
"24","HOXA7"
"25","EMILIN2"
"26","HLA-DQB1"
"27","INA"
"28","GABRB3"
"29","COL6A2"
"30","GRIN1"
"31","FUT9"
"32","SPP1"
"33","ABCC3"
"34","GPR17"
"35","SHANK2"
"36","TNR"
"37","SERPING1"
"38","FABP5"
"39","TNFRSF12A"
"40","COL1A1"
"41","COL4A1"
"42","SMOC1"
"43","FERMT1"
"44","GABRG1"
"45","KCNIP2"
"46","RTP5"
"47","TYMP"
"48","KCNB1"
"49","TMEM151B"
"50","COL4A2"
"51","KSR2"
"52","PCDH7"
"53","VIM"
"54","APOL4"
"55","COL3A1"
"56","PTX3"
"57","SHISA7"
"58","ADAM12"
"59","CA10"
"60","C1R"
"61","ST8SIA3"
"62","ELFN2"
"63","CPLX2"
"64","CP"
"65","MMD2"
"66","KCNIP3"
"67","CRTAC1"
"68","PLAU"
"69","IFI30"
"70","RIMS2"
"71","CDHR1"
"72","IGF2BP3"
"73","MOXD1"
"74","STEAP3"
"75","GNAL"
"76","SLITRK1"
"77","SRPX2"
"78","IGF2BP2"
"79","PLA2G2A"
"80","MDGA2"
"81","PLEKHA4"
"82","CACNG2"
"83","SLC8A2"
"84","GBP1"
"85","CXCL10"
"86","COL5A2"
"87","S100A11"
"88","LGALS3"
"89","AEBP1"
"90","CCL2"
"91","MMP14"
"92","CFI"
"93","CHGB"
"94","DSCAML1"
"95","RBP1"
"96","SVOP"
"97","ADM"
"98","SLCO1A2"
"99","GDF15"
"100","TUBA1C"
