,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
5123,GO:0014003,0,1,9,38,oligodendrocyte development,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;CNTN2;LPAR1
7013,GO:0022010,0,1,8,17,central nervous system myelination,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;CNTN2
8307,GO:0032291,0,1,8,17,axon ensheathment in central nervous system,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;CNTN2
3709,GO:0007272,4.11500794439125e-13,1,13,113,ensheathment of neurons,BP,CLDN11;SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
4059,GO:0008366,4.11500794439125e-13,1,13,113,axon ensheathment,BP,CLDN11;SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
10791,GO:0042552,7.3794645126369e-12,1,12,111,myelination,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;KLK6;MAL;CNTN2;MBP;LPAR1
13200,GO:0048709,1.60804311923711e-10,0.999999999993018,10,87,oligodendrocyte differentiation,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;BOK;CNTN2;LPAR1
11129,GO:0043209,2.62886934024981e-10,0.999999999984585,12,158,myelin sheath,CC,CLDN11;MAG;SEPT4;PLP1;PACSIN1;HSPA2;ERMN;MOBP;TPPP;CNTN2;MBP;GJC2
3751,GO:0007399,9.1791247997858e-10,0.999999999785973,38,2100,nervous system development,BP,CLDN11;CAMK2A;LRP2;SOX10;CPNE6;FA2H;NEFM;SLC17A7;MAG;ASPA;SEPT4;RASAL1;PADI2;GDA;PLP1;PACSIN1;MYRF;HAPLN2;RAPGEF5;MOG;SLC39A12;NKX6-2;NRGN;S100A1;SERPINI1;HHIP;KLK6;MOBP;GJB1;MAL;BOK;S1PR5;CNTN2;CCK;MBP;LPAR1;ZNF536;GJC2
3762,GO:0007417,6.77153383134696e-09,0.999999998738852,23,878,central nervous system development,BP,LRP2;SOX10;FA2H;SLC17A7;MAG;ASPA;SEPT4;PADI2;PLP1;MYRF;HAPLN2;MOG;NKX6-2;NRGN;S100A1;SERPINI1;KLK6;MAL;BOK;CNTN2;MBP;LPAR1;GJC2
6898,GO:0021782,8.24357622418686e-09,0.999999999609723,9,92,glial cell development,BP,SOX10;FA2H;MAG;ASPA;PLP1;MYRF;NKX6-2;CNTN2;LPAR1
