"","x"
"1","MBP"
"2","MOBP"
"3","MAG"
"4","ERMN"
"5","MOG"
"6","OPALIN"
"7","CARNS1"
"8","CNTN2"
"9","CNDP1"
"10","BCAS1"
"11","NKX6-2"
"12","MAL"
"13","LGI3"
"14","KLK6"
"15","CLDN11"
"16","MYRF"
"17","AK5"
"18","HHATL"
"19","TMEM144"
"20","SEC14L5"
"21","TMEM125"
"22","FXYD1"
"23","S100A1"
"24","NECAB1"
"25","ENPP2"
"26","HAPLN2"
"27","GJB1"
"28","PLP1"
"29","FBXO2"
"30","TF"
"31","PACSIN1"
"32","PPP1R14A"
"33","SLC17A7"
"34","SPOCK3"
"35","CAMK2A"
"36","CPNE6"
"37","PTGDS"
"38","TMEM235"
"39","GRM3"
"40","NKAIN2"
"41","TMEM151A"
"42","TMEM88B"
"43","S1PR5"
"44","GPR62"
"45","FOLH1"
"46","FA2H"
"47","PPP2R2C"
"48","GREM1"
"49","SEPT4"
"50","AIFM3"
"51","SERPINI1"
"52","BOK"
"53","SLC5A11"
"54","LRP2"
"55","NEFM"
"56","LPAR1"
"57","SV2B"
"58","PPP1R1B"
"59","TPPP"
"60","HHIP"
"61","PAQR6"
"62","DNAH17"
"63","SLC39A12"
"64","PPP1R16B"
"65","RAPGEF5"
"66","CNTNAP4"
"67","GPR37"
"68","SLC24A2"
"69","EVI2A"
"70","ST18"
"71","ADAP1"
"72","HSPA2"
"73","RYR2"
"74","MYBPC1"
"75","GJC2"
"76","CXCL14"
"77","PEX5L"
"78","NRGN"
"79","VSNL1"
"80","RASAL1"
"81","ASPA"
"82","FGF1"
"83","TOP2A"
"84","CD22"
"85","DOCK5"
"86","HS3ST4"
"87","CDK18"
"88","ZNF536"
"89","MKI67"
"90","EPHB6"
"91","PHYHIP"
"92","MPPED1"
"93","GDA"
"94","CCK"
"95","IQCA1"
"96","PADI2"
"97","TPD52L1"
"98","RCAN2"
"99","SOX10"
"100","ETNPPL"
