,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
11819,GO:0045202,1.39211590975526e-11,1,34,1258,synapse,CC,SNAP91;SYT1;CAMK2A;RAPGEF4;SRPX2;SLC17A7;ATP1A3;SH3GL2;GABRG2;SLC8A2;KCNIP2;IQSEC3;PACSIN1;SNAP25;POSTN;ANXA1;CPLX2;INA;RAB3C;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;SVOP;GABRB3;RIMS2;GRIN1;SLITRK1;DDN;SV2B;SHISA7;SLC6A17;FRRS1L
7123,GO:0030054,5.43915588316513e-10,0.999999999871951,40,1935,cell junction,CC,VIM;SNAP91;SYT1;CAMK2A;RAPGEF4;SRPX2;SLC17A7;ATP1A3;SH3GL2;GABRG2;SLC8A2;KCNIP2;IQSEC3;PLAU;PACSIN1;SNAP25;POSTN;ANXA1;CPLX2;INA;RAB3C;SYN2;KCNB1;SHANK1;SHANK2;PDPN;GABRG1;SVOP;GABRB3;CNTNAP2;RIMS2;GRIN1;SLITRK1;DDN;ANXA2;SV2B;SHISA7;SLC6A17;OPALIN;FRRS1L
3669,GO:0007268,2.82150771508014e-09,0.99999999952803,22,661,chemical synaptic transmission,BP,RASGRF1;SYT1;CAMK2A;CELF4;SLC17A7;CUX2;GABRG2;SLC8A2;KCNIP2;SNAP25;CPLX2;JPH3;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SV2B;SHISA7
17969,GO:0098916,2.82150771508014e-09,0.99999999952803,22,661,anterograde trans-synaptic signaling,BP,RASGRF1;SYT1;CAMK2A;CELF4;SLC17A7;CUX2;GABRG2;SLC8A2;KCNIP2;SNAP25;CPLX2;JPH3;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SV2B;SHISA7
7597,GO:0031012,3.34735923758629e-09,0.999999999511417,19,502,extracellular matrix,CC,TIMP1;SRPX2;SERPINE1;COL1A1;LOX;TGFBI;FMOD;GDF15;COL5A1;CHI3L1;POSTN;ANXA1;COL6A2;ELFN2;COL3A1;ANXA2;COL4A1;SERPINA3;SMOC1
18159,GO:0099537,3.66885896210113e-09,0.999999999377221,22,669,trans-synaptic signaling,BP,RASGRF1;SYT1;CAMK2A;CELF4;SLC17A7;CUX2;GABRG2;SLC8A2;KCNIP2;SNAP25;CPLX2;JPH3;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SV2B;SHISA7
17403,GO:0097060,5.68429001185889e-09,0.999999999242897,17,373,synaptic membrane,CC,SNAP91;SYT1;SRPX2;GABRG2;IQSEC3;SNAP25;ANXA1;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SLITRK1;DDN;SHISA7
18158,GO:0099536,5.7483602025035e-09,0.99999999898024,22,688,synaptic signaling,BP,RASGRF1;SYT1;CAMK2A;CELF4;SLC17A7;CUX2;GABRG2;SLC8A2;KCNIP2;SNAP25;CPLX2;JPH3;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SV2B;SHISA7
14332,GO:0060078,9.35163296260248e-09,0.999999999309127,11,137,regulation of postsynaptic membrane potential,BP,CELF4;SLC17A7;CUX2;GABRG2;SLC8A2;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1
15350,GO:0062023,1.88443782274342e-08,0.999999997419166,16,381,collagen-containing extracellular matrix,CC,TIMP1;SRPX2;SERPINE1;COL1A1;TGFBI;FMOD;GDF15;COL5A1;POSTN;ANXA1;COL6A2;COL3A1;ANXA2;COL4A1;SERPINA3;SMOC1
12827,GO:0048167,2.5821271997218e-08,0.999999997553608,12,183,regulation of synaptic plasticity,BP,RASGRF1;CAMK2A;SLC8A2;SNAP25;CPLX2;JPH3;KCNB1;SHANK1;SHANK2;RIMS2;GRIN1;SHISA7
17898,GO:0098815,6.61825782760381e-08,0.999999997623716,7,44,modulation of excitatory postsynaptic potential,BP,CELF4;CUX2;SLC8A2;SHANK1;SHANK2;RIMS2;GRIN1
3817,GO:0008021,7.22956556812562e-08,0.9999999933404,11,192,synaptic vesicle,CC,SNAP91;SYT1;SLC17A7;SH3GL2;SNAP25;RAB3C;SYN2;SVOP;GRIN1;SV2B;SLC6A17
3668,GO:0007267,7.94846432932221e-08,0.99999997894432,31,1587,cell-cell signaling,BP,RASGRF1;SYT1;CAMK2A;RAPGEF4;CHGA;CELF4;SLC17A7;PLEKHA4;COL1A1;CUX2;GABRG2;IGFBP2;SLC8A2;KCNIP2;LIF;GDF15;SNAP25;ANXA1;CPLX2;ADM;JPH3;SYN2;KCNB1;SHANK1;SHANK2;GABRG1;GABRB3;RIMS2;GRIN1;SV2B;SHISA7
18180,GO:0099565,1.03536096781552e-07,0.999999993015078,9,106,chemical synaptic transmission, postsynaptic,BP,CELF4;SLC17A7;CUX2;SLC8A2;SHANK1;SHANK2;GABRB3;RIMS2;GRIN1
18129,GO:0099503,1.79400034558681e-07,0.999999962120558,21,911,secretory vesicle,CC,LTF;SNAP91;SYT1;CHGA;TIMP1;SLC17A7;SERPINE1;SH3GL2;COL1A1;PLAU;SNAP25;CHI3L1;RAB3C;SYN2;SVOP;GRIN1;ANXA2;SV2B;PLA2G2A;SERPINA3;SLC6A17
15614,GO:0070382,1.92426187536975e-07,0.999999980362188,11,210,exocytic vesicle,CC,SNAP91;SYT1;SLC17A7;SH3GL2;SNAP25;RAB3C;SYN2;SVOP;GRIN1;SV2B;SLC6A17
3715,GO:0007399,2.06899830954694e-07,0.999999935925294,39,2236,nervous system development,BP,TNFRSF12A;VIM;RASGRF1;SYT1;CAMK2A;SRPX2;SLC17A7;SH3GL2;CUX2;GABRG2;HPCAL4;KCNIP2;PACSIN1;LIF;SNAP25;POSTN;ANXA1;SRRM4;CPLX2;INA;ADM;AFF2;SHANK1;SHANK2;CSMD3;GABRB3;RBFOX3;MOBP;COL3A1;FUT9;CNTNAP2;RIMS2;GRIN1;SLITRK1;MYT1L;COL4A1;SLC6A17;OPALIN;DOK6
16474,GO:0071944,2.65799502581494e-07,0.999999909007446,56,4460,cell periphery,CC,TNFRSF12A;LTF;VIM;RASGRF1;SNAP91;SYT1;SLCO1A2;RAPGEF4;SRPX2;SLC17A7;ATP1A3;PLEKHA4;SERPINE1;SH3GL2;ABCC3;GABRG2;IGFBP2;SLC8A2;KCNIP2;IQSEC3;TGFBI;PLAU;PACSIN1;SNAP25;ANXA1;GNAL;COL6A2;EMP3;RAB3C;JPH3;SYN2;KCNB1;SHANK1;SHANK2;PDPN;GABRG1;CSMD3;GABRB3;MOBP;KSR2;CNTNAP2;DPP10;RIMS2;GRIN1;CD163;SLITRK1;DDN;ANXA2;CALN1;SV2B;SHISA7;PLA2G2A;PTPRT;SLC6A17;OPALIN;FRRS1L
