"","x"
"1","CHI3L1"
"2","POSTN"
"3","LTF"
"4","IGFBP2"
"5","TIMP1"
"6","PDPN"
"7","SERPINA3"
"8","GRIN1"
"9","JPH3"
"10","PTPRT"
"11","ETNPPL"
"12","CPLX2"
"13","NNMT"
"14","INA"
"15","SMOC1"
"16","SNAP91"
"17","COL1A1"
"18","GABRB3"
"19","SPOCD1"
"20","PACSIN1"
"21","CHI3L2"
"22","CHGA"
"23","EMP3"
"24","KSR2"
"25","SOCS3"
"26","GABRG1"
"27","SLC17A7"
"28","ANXA1"
"29","RIMS2"
"30","ABCC3"
"31","CAMK2A"
"32","ST8SIA3"
"33","SYN2"
"34","CUX2"
"35","SLC8A2"
"36","SH3GL2"
"37","SHANK2"
"38","SPHKAP"
"39","SNAP25"
"40","OPALIN"
"41","CSMD3"
"42","SERPINE1"
"43","KCNB1"
"44","CD163"
"45","COL3A1"
"46","MCF2L2"
"47","ANXA2"
"48","SHANK1"
"49","MYT1L"
"50","TMEM151B"
"51","SVOP"
"52","SLCO1A2"
"53","FMOD"
"54","ATP1A3"
"55","PPP2R2C"
"56","HPCAL4"
"57","SYT1"
"58","COL6A2"
"59","COL5A1"
"60","DDN"
"61","LOX"
"62","SRPX2"
"63","TGFBI"
"64","DPP10"
"65","CELF4"
"66","GABRG2"
"67","SV2B"
"68","NEFM"
"69","PLAU"
"70","ELFN2"
"71","ADM"
"72","MOBP"
"73","GALNT13"
"74","LIF"
"75","TNFRSF12A"
"76","DOK6"
"77","RASGRF1"
"78","GNAL"
"79","GDF15"
"80","COL4A1"
"81","FUT9"
"82","SLITRK1"
"83","RAPGEF4"
"84","IQSEC3"
"85","SLC6A17"
"86","PHACTR3"
"87","RAB3C"
"88","KCNIP2"
"89","AFF2"
"90","C1R"
"91","CALN1"
"92","METTL7B"
"93","VIM"
"94","CNTNAP2"
"95","FRRS1L"
"96","RBFOX3"
"97","PLA2G2A"
"98","PLEKHA4"
"99","SHISA7"
"100","SRRM4"
