p	R	label	x	y	m	b	color	patient
8.55e-01	0.031	p=8.55e-01, R=0.031, y = 0x + 0.05	0	40	0	0.05	#FF0060FF	P485
2.65e-06	0.636	p=2.65e-06, R=0.636, y = 0x + 0.01	0	41.5	0	0.01	#FF00BFFF	P482
1.68e-01	0.235	p=1.68e-01, R=0.235, y = 0x + 0.03	0	43	0	0.03	#DF00FFFF	P481
2.84e-01	0.245	p=2.84e-01, R=0.245, y = 0x + 0.04	0	44.5	0	0.04	#8000FFFF	P475
1.02e-01	0.438	p=1.02e-01, R=0.438, y = 0x + 0.01	0	46	0	0.01	#2000FFFF	P457
2.15e-01	0.189	p=2.15e-01, R=0.189, y = 0x + 0.03	0	47.5	0	0.03	#0040FFFF	P455
1.47e-03	0.46	p=1.47e-03, R=0.46, y = 0x + 0	0	49	0	0	#009FFFFF	P454
1.47e-03	0.46	p=1.47e-03, R=0.46, y = 0x + 0.01	0	50.5	0	0.01	#00FFFFFF	P453
4.94e-02	0.295	p=4.94e-02, R=0.295, y = 0x + 0.01	0	52	0	0.01	#00FF9FFF	P450
3.08e-03	0.432	p=3.08e-03, R=0.432, y = 0x + 0.02	0	53.5	0	0.02	#00FF40FF	P413
4.90e-01	0.106	p=4.90e-01, R=0.106, y = 0x + 0.02	0	55	0	0.02	#20FF00FF	P375
6.95e-01	0.06	p=6.95e-01, R=0.06, y = 0x + 0.03	0	56.5	0	0.03	#80FF00FF	P340
7.91e-03	0.391	p=7.91e-03, R=0.391, y = 0x + 0.01	0	58	0	0.01	#DFFF00FF	P327
1.98e-01	0.251	p=1.98e-01, R=0.251, y = 0x + 0.02	0	59.5	0	0.02	#FFBF00FF	P303
3.79e-01	0.134	p=3.79e-01, R=0.134, y = 0x + 0.02	0	61	0	0.02	#FF6000FF	P302
9.25e-01	-0.022	p=9.25e-01, R=-0.022, y = 0x + 0.03	0	62.5	0	0.03	#FF0000FF	P300
