n	p	R	label	x	y	color	patient	adj.p
2	7.95e-01	-0.073	p=0.795, R=-0.073	0	80	firebrick4	Patient276	0.795
2	2.56e-01	0.222	p=0.365714285714286, R=0.222	0	85	firebrick4	Patient454	0.365714285714286
2	6.05e-01	-0.12	p=0.672222222222222, R=-0.12	0	90	firebrick4	Patient413	0.672222222222222
2	7.58e-04	-0.599	p=0.00252666666666667, R=-0.599	0	95	gray40	Patient482	0.00252666666666667
2	3.59e-08	-0.506	p=3.59e-07, R=-0.506	0	100	gray40	Patient260	3.59e-07
2	1.41e-01	-0.223	p=0.235, R=-0.223	0	105	gray40	Patient450	0.235
2	4.52e-01	0.174	p=0.565, R=0.174	0	110	gray40	Patient453	0.565
2	1.62e-04	-0.533	p=0.00081, R=-0.533	0	115	gray40	Patient375	0.00081
2	8.36e-02	-0.292	p=0.1672, R=-0.292	0	120	gray40	Patient327	0.1672
2	2.18e-02	-0.381	p=0.0545, R=-0.381	0	125	gray40	Patient303	0.0545
3	3.33e-01	-0.228	p=0.41625, R=-0.228	0	80	firebrick4	Patient276	0.41625
3	4.41e-02	0.27	p=0.0735, R=0.27	0	85	firebrick4	Patient454	0.0735
3	4.13e-01	-0.143	p=0.458888888888889, R=-0.143	0	90	firebrick4	Patient413	0.458888888888889
3	8.77e-08	-0.644	p=2.92333333333333e-07, R=-0.644	0	95	gray40	Patient482	2.92333333333333e-07
3	1.30e-50	-0.625	p=1.3e-49, R=-0.625	0	100	gray40	Patient260	1.3e-49
3	3.01e-01	-0.095	p=0.41625, R=-0.095	0	105	gray40	Patient450	0.41625
3	6.37e-01	0.083	p=0.637, R=0.083	0	110	gray40	Patient453	0.637
3	1.61e-08	-0.488	p=8.05e-08, R=-0.488	0	115	gray40	Patient375	8.05e-08
3	4.75e-03	-0.305	p=0.0095, R=-0.305	0	120	gray40	Patient327	0.0095
3	2.41e-03	-0.327	p=0.006025, R=-0.327	0	125	gray40	Patient303	0.006025
4	5.01e-01	-0.188	p=0.62625, R=-0.188	0	80	firebrick4	Patient276	0.62625
4	1.98e-02	0.278	p=0.033, R=0.278	0	85	firebrick4	Patient454	0.033
4	2.03e-01	-0.221	p=0.29, R=-0.221	0	90	firebrick4	Patient413	0.29
4	2.15e-10	-0.671	p=7.16666666666667e-10, R=-0.671	0	95	gray40	Patient482	7.16666666666667e-10
4	5.40e-178	-0.669	p=5.4e-177, R=-0.669	0	100	gray40	Patient260	5.4e-177
4	9.87e-01	-0.001	p=0.987, R=-0.001	0	105	gray40	Patient450	0.987
4	8.77e-01	-0.027	p=0.974444444444444, R=-0.027	0	110	gray40	Patient453	0.974444444444444
4	1.98e-12	-0.461	p=9.9e-12, R=-0.461	0	115	gray40	Patient375	9.9e-12
4	5.34e-04	-0.304	p=0.001335, R=-0.304	0	120	gray40	Patient327	0.001335
4	2.06e-03	-0.272	p=0.00412, R=-0.272	0	125	gray40	Patient303	0.00412
5	 NA	NA	p=NA, R=NA	0	80	firebrick4	Patient276	NA
5	9.79e-02	0.223	p=0.163166666666667, R=0.223	0	85	firebrick4	Patient454	0.163166666666667
5	 NA	NA	p=NA, R=NA	0	90	firebrick4	Patient413	NA
5	3.64e-08	-0.658	p=1.21333333333333e-07, R=-0.658	0	95	gray40	Patient482	1.21333333333333e-07
5	0.00e+00	-0.628	p=0, R=-0.628	0	100	gray40	Patient260	0
5	6.23e-01	0.031	p=0.77875, R=0.031	0	105	gray40	Patient450	0.77875
5	6.16e-01	-0.116	p=0.77875, R=-0.116	0	110	gray40	Patient453	0.77875
5	1.65e-12	-0.426	p=8.25e-12, R=-0.426	0	115	gray40	Patient375	8.25e-12
5	1.04e-03	-0.289	p=0.0026, R=-0.289	0	120	gray40	Patient327	0.0026
5	2.14e-02	-0.205	p=0.0428, R=-0.205	0	125	gray40	Patient303	0.0428
6	NA	NA	p=NA, R=NA	0	80	firebrick4	Patient276	NA
6	3.70e-01	0.176	p=0.555, R=0.176	0	85	firebrick4	Patient454	0.555
6	 NA	NA	p=NA, R=NA	0	90	firebrick4	Patient413	NA
6	9.16e-04	-0.592	p=0.002748, R=-0.592	0	95	gray40	Patient482	0.002748
6	0.00e+00	-0.529	p=0, R=-0.529	0	100	gray40	Patient260	0
6	7.14e-01	0.025	p=0.901125, R=0.025	0	105	gray40	Patient450	0.901125
6	8.01e-01	-0.118	p=0.901125, R=-0.118	0	110	gray40	Patient453	0.901125
6	8.60e-10	-0.407	p=3.87e-09, R=-0.407	0	115	gray40	Patient375	3.87e-09
6	2.04e-02	-0.253	p=0.0459, R=-0.253	0	120	gray40	Patient327	0.0459
6	2.49e-01	-0.127	p=0.4482, R=-0.127	0	125	gray40	Patient303	0.4482
