""	"Angiogenesis"	"Apoptosis"	"Cell_Cycle"	"Differentiation"	"DNA_damage"	"DNA_repair"	"EMT"	"Hypoxia"	"Inflammation"	"Invasion"	"Metastasis"	"Proliferation"	"Quiescence"	"Stemness"
"P303v1"	-0.195471236965274	-0.0200994275520196	-0.304663276542774	-0.0792793750518037	0.10584162403834	0.175664139502206	-0.128717280665169	-0.307416848885415	-0.343288187174419	-0.161159572538869	-0.271168080541446	-0.201867458892526	-0.113459227631831	0.236486123080526
"P303v2"	-0.232108888513448	-0.0178359019678243	-0.42365045431167	-0.0556643130227874	0.0532443518420674	-0.0576766592904663	-0.130844452954084	-0.321972356247776	-0.285752984094824	-0.225376254095956	-0.205161183068495	-0.14040440533068	-0.202737854818299	0.123684969889403
"P303v3"	-0.261602960551874	-0.0596518630851642	-0.422426239890795	-0.125062746315025	-0.0894086200453925	-0.143414769858707	-0.191102036103142	-0.293061313724091	-0.28978156171393	-0.23785700754885	-0.249957016951121	-0.178421777231145	-0.195403741763634	0.0290652936819433
"P303v4"	-0.211678195979086	-0.0508225735494495	-0.447700592595558	-0.0468536306772073	-0.108160315352866	-0.173833708752734	-0.233430871233391	-0.337018275718905	-0.167138477117037	-0.30342427704049	-0.226504274285482	-0.124752038473138	-0.258425830045434	-0.082288220384553
"P303v6"	-0.229321935428492	-0.0831918045102802	-0.44271162506716	-0.0419935317060656	-0.110990146285771	-0.176032674020965	-0.217220437859037	-0.358353058767898	-0.195817665783626	-0.302769558963614	-0.206082991272554	-0.0830347357005864	-0.239661785097484	-0.0356102821133057
"P303v8"	-0.285293472989643	-0.109104231472051	-0.478791490436407	-0.149246992242959	-0.149519367395608	-0.181470765042228	-0.304884827598442	-0.389178566046586	-0.237526724981962	-0.323946297194179	-0.252222220905164	-0.174302063461111	-0.292601285786234	-0.0721514944445081
"P303v9"	-0.217423789435084	-0.0586296673555481	-0.417735521908587	-0.103025504479463	-0.0504602746668717	-0.128060171375581	-0.29268040493688	-0.371097871251849	-0.185743670057995	-0.2955539247527	-0.222195179290433	-0.109750015214531	-0.299443136498063	-0.0740412514070668
"P303v10"	-0.144022815419471	-0.0406917716686785	-0.421595118453624	-0.158979834909222	0.00456122767796962	-0.0558403816693624	-0.250530195705286	-0.36008940394817	-0.21996505977729	-0.195843890345467	-0.170886144268571	-0.202451249129755	-0.302146732953974	-0.0938599400723913
"P327v1"	-0.255923405174139	-0.259990501009231	-0.414550446531783	-0.192015032494507	-0.176653110795418	-0.155785707470715	-0.179095974135345	-0.311352778414226	-0.211040468739011	-0.307925100107806	-0.266601418337171	-0.117634904305262	-0.231630566158806	-0.156060719164216
"P327v2"	-0.345638168147332	-0.190616396051065	-0.461706426899353	-0.228644540792768	-0.204414235733445	-0.152905793183517	-0.239926739218332	-0.326793571334021	-0.325600218990502	-0.26432181691932	-0.298622253611812	-0.116295182393015	-0.345897153288814	-0.133059748303484
