a	b	purityCorrection	estimate	pvalue	corr.pvalue	isSignificant
DistCentroid	Angiogenesis	1	0.00131961918166365	0.368864965095862	0.645513688917758	0
DistCentroid	Apoptosis	0	-0.00173027967358753	0.235096901797696	0.470193803595393	0
DistCentroid	Cell_Cycle	1	4.63023652215083e-05	0.994060382356594	0.994060382356594	0
DistCentroid	Differentiation	1	-0.0023153885575712	0.0500822960112393	0.470193803595393	0
DistCentroid	DNA_damage	1	-9.03650188129844e-05	0.978111715347347	0.994060382356594	0
DistCentroid	DNA_repair	1	-0.00139456651710789	0.758338617499569	0.884728387082831	0
DistCentroid	EMT	0	-0.00275521336101124	0.0732512172910532	0.470193803595393	0
DistCentroid	Hypoxia	1	-0.00208631828648596	0.191297167471106	0.470193803595393	0
DistCentroid	Inflammation	1	-0.00269186424613921	0.221583728222008	0.470193803595393	0
DistCentroid	Invasion	1	-0.00232600239567244	0.125732343504139	0.470193803595393	0
DistCentroid	Metastasis	0	-0.000903189060528352	0.504525945003061	0.669433128268409	0
DistCentroid	Proliferation	1	-0.00271040610375231	0.206380708249432	0.470193803595393	0
DistCentroid	Quiescence	1	-0.000852687513356436	0.525983172210893	0.669433128268409	0
DistCentroid	Stemness	0	-0.00103207425068847	0.445737626379162	0.669433128268409	0
DistPeriph	Angiogenesis	1	-0.00113238439329363	0.688999933114489	0.819792971758831	0
DistPeriph	Apoptosis	0	0.000740573650650888	0.791526559386946	0.819792971758831	0
DistPeriph	Cell_Cycle	1	0.00557521174109042	0.641946498404607	0.819792971758831	0
DistPeriph	Differentiation	1	0.00178013344396892	0.434726370200993	0.760771147851739	0
DistPeriph	DNA_damage	1	0.0041967220769087	0.506286705145601	0.787557096893158	0
DistPeriph	DNA_repair	1	0.00754661547926368	0.385429689802017	0.760771147851739	0
DistPeriph	EMT	0	0.00441278723484709	0.138127141866633	0.485301541943059	0
DistPeriph	Hypoxia	1	0.00424680211494668	0.138657583412303	0.485301541943059	0
DistPeriph	Inflammation	1	0.000965975198949302	0.819792971758831	0.819792971758831	0
DistPeriph	Invasion	1	0.0050183632862622	0.0850711642251761	0.485301541943059	0
DistPeriph	Metastasis	0	0.00247471235343822	0.340942400778402	0.760771147851739	0
DistPeriph	Proliferation	1	0.00549212349850926	0.182018076331	0.5096506137268	0
DistPeriph	Quiescence	1	0.00077869840304847	0.760924325103297	0.819792971758831	0
DistPeriph	Stemness	0	0.00513407809269377	0.0453308685698665	0.485301541943059	0
DistVR	Angiogenesis	1	0.000322756129584988	0.782228361361404	0.782228361361404	0
DistVR	Apoptosis	0	-0.00276773891634955	0.0123873396770277	0.0534756784914059	0
DistVR	Cell_Cycle	1	-0.00311218016264955	0.530184185614153	0.580863954804218	0
DistVR	Differentiation	1	-0.00338378583717212	0.000194381116327893	0.0027213356285905	1
DistVR	DNA_damage	1	-0.00277885668854907	0.286333083771128	0.445407019199532	0
DistVR	DNA_repair	1	-0.00288472868568186	0.422607260454821	0.580863954804218	0
DistVR	EMT	0	-0.00234927240751621	0.0492376815248153	0.0994747046870026	0
DistVR	Hypoxia	1	-0.00232144493462123	0.0497373523435013	0.0994747046870026	0
DistVR	Inflammation	1	-0.00125902822049437	0.471254584937522	0.580863954804218	0
DistVR	Invasion	1	-0.00274594230744843	0.022416098615818	0.0627650761242905	0
DistVR	Metastasis	0	-0.00310861698154053	0.00232730483869456	0.0162911338708619	1
DistVR	Proliferation	1	-0.00408458990613862	0.0152787652832588	0.0534756784914059	0
DistVR	Quiescence	1	-0.000646164371977961	0.539373672318203	0.580863954804218	0
DistVR	Stemness	0	-0.00143227442155412	0.167340387752072	0.292845678566127	0
