a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	lymphocytes	0.0012259584102241	1.35035825963567e-05	2.25059709939279e-05	1
purity	m1macro	-5.2038570225797e-05	0.458472003793814	0.509413337548682	0
purity	microgliamacro	-0.000112095261741312	0.405619497049307	0.507024371311633	0
purity	granulocyte	-4.84446738679554e-05	0.281414147954137	0.402020211363053	0
purity	endothelial	-0.00156793685551845	7.94984340897237e-09	1.98746085224309e-08	1
purity	astrocytes	-0.00107805290528214	1.5044426905202e-09	7.52221345260099e-09	1
purity	astrocytes2	-0.00179111569032429	1.31870999349116e-10	1.31870999349116e-09	1
purity	oligodendrocytes	-0.00105012440023769	6.41370261314514e-09	1.98746085224309e-08	1
purity	ependymal	3.01292166382224e-05	0.882781229875923	0.882781229875923	0
purity	neuron	-0.00144556566692842	5.63204022228741e-08	1.12640804445748e-07	1
