a	b	purityCorrection	estimate	pvalue	pvalueIDH	corr.pvalue	corr.pvalueIDH	isSignificant
DistCentroid	Angiogenesis	0	0.00322257119131324	0.31312260767925	0.0106832887197245	0.730619417918249	0.0166184491195715	1
DistCentroid	Apoptosis	0	-0.00631020464944977	0.00870695622241351	0.000188476168953466	0.121897387113789	0.000879555455116176	1
DistCentroid	Cell_Cycle	1	0.00681443703477485	0.413696554283424	0.133063898513148	0.827393108566847	0.155241214932006	0
DistCentroid	Differentiation	0	-0.001916670885389	0.302214612059017	0.000857944108048304	0.730619417918249	0.00200186958544604	1
DistCentroid	DNA_damage	1	-0.000950059804855298	0.804296023461969	0.0536471574823367	0.866164948343659	0.0682782004320649	0
DistCentroid	DNA_repair	1	-0.000304488856298171	0.951224518163302	0.181601548629225	0.951224518163302	0.19557089852378	0
DistCentroid	EMT	1	0.00124218831194157	0.748297438627541	0.000749810491574445	0.866164948343659	0.00200186958544604	1
DistCentroid	Hypoxia	0	-0.00380136979032421	0.611159443347696	0.0168733217040453	0.866164948343659	0.0236226503856634	1
DistCentroid	Inflammation	0	-0.00892341602687991	0.0884063899016109	0.00293934972377607	0.412563152874184	0.00514386201660812	1
DistCentroid	Invasion	1	0.00138419441649267	0.731945926289803	0.000404121817949145	0.866164948343659	0.00141442636282201	1
DistCentroid	Metastasis	1	-0.00133754733355842	0.691582532729285	7.24610106011288e-05	0.866164948343659	0.00052121010792221	1
DistCentroid	Proliferation	1	-0.00325150049114919	0.223796330864847	0.00146739122578837	0.730619417918249	0.00293478245157674	1
DistCentroid	Quiescence	1	-0.00799310982164809	0.0299508973493269	7.445858684603e-05	0.209656281445288	0.00052121010792221	1
DistCentroid	Stemness	1	-0.000794635820424919	0.579285411265515	0.302584856019135	0.866164948343659	0.302584856019135	0
DistPeriph	Angiogenesis	0	0.0059580341288674	0.411037124611811	0.00205809945620041	0.869023171943516	0.00411619891240081	1
DistPeriph	Apoptosis	0	0.00776676799659372	0.152221514712452	0.00480678877579054	0.869023171943516	0.0079019151620427	1
DistPeriph	Cell_Cycle	1	-0.0176929877193756	0.340044126983516	0.0212539932689223	0.869023171943516	0.0247963254804094	1
DistPeriph	Differentiation	0	0.0063805942249479	0.127462220932766	0.000643863931783875	0.869023171943516	0.00150234917416237	1
DistPeriph	DNA_damage	1	-0.00424643780113324	0.619187263127155	0.0202457608815922	0.92136904070948	0.0247963254804094	1
DistPeriph	DNA_repair	1	-0.00304453185091029	0.783911080448518	0.0502234095496159	0.976393785099698	0.0502234095496159	0
DistPeriph	EMT	1	0.00384417529366607	0.658120743363915	2.55168754231244e-05	0.92136904070948	0.000178618127961871	1
DistPeriph	Hypoxia	0	-0.000444039911612527	0.978992308583746	0.00507980260417031	0.978992308583746	0.0079019151620427	1
DistPeriph	Inflammation	0	0.00915789866892074	0.434511585971758	0.0187758132399861	0.869023171943516	0.0247963254804094	1
DistPeriph	Invasion	1	-0.00186101739138383	0.836908958656884	9.38269675699822e-06	0.976393785099698	0.000131357754597975	1
DistPeriph	Metastasis	1	0.00689592276663276	0.361301548509443	5.08707914252756e-05	0.869023171943516	0.000237397026651286	1
DistPeriph	Proliferation	1	0.00500623734765448	0.404661421869155	0.000579536307172053	0.869023171943516	0.00150234917416237	1
DistPeriph	Quiescence	1	0.000582301110558427	0.944463580446987	0.000566440464401988	0.978992308583746	0.00150234917416237	1
DistPeriph	Stemness	1	-0.00158534712362271	0.616043211232841	0.0389946495963966	0.92136904070948	0.0419942380268886	1
DistVR	Angiogenesis	0	0.00252934879255409	0.37933252394191	0.341872060142206	0.590072815020749	0.478620884199088	0
DistVR	Apoptosis	0	-0.00778456719306181	0.000466526081695778	0.00077031673705131	0.00653136514374089	0.0107844343187183	1
DistVR	Cell_Cycle	1	0.0162728489187185	0.0386396695559554	0.616400551206061	0.180318457927792	0.708173850251209	0
DistVR	Differentiation	0	-0.00114592899234817	0.497684898046149	0.223485152919503	0.696758857264608	0.347643571208116	0
DistVR	DNA_damage	1	0.00442746343240763	0.217846904196784	0.787857750000972	0.422771185905274	0.787857750000972	0
DistVR	DNA_repair	1	0.00544604042581244	0.241583534803014	0.657590003804694	0.422771185905274	0.708173850251209	0
DistVR	EMT	1	-0.00091968413428226	0.79794410735862	0.0322787135568673	0.859324423309283	0.0903803979592285	0
DistVR	Hypoxia	0	-0.00316753964230005	0.640816397074213	0.163662810316414	0.81558450536718	0.286409918053725	0
DistVR	Inflammation	0	-0.00632478662145216	0.201332767461285	0.0213564537491454	0.422771185905274	0.0747475881220089	0
DistVR	Invasion	1	-0.00590011473244865	0.116945075258783	0.00181576255822572	0.327446210724592	0.0127103379075801	1
DistVR	Metastasis	1	-0.00103921112753068	0.73956571932302	0.0456490922209994	0.859324423309283	0.106514548515665	0
DistVR	Proliferation	1	-0.000118448588264302	0.961595918905064	0.494746575231032	0.961595918905064	0.62967745938495	0
DistVR	Quiescence	1	-0.00543697673263242	0.106382672042329	0.00801671940705596	0.327446210724592	0.0374113572329278	1
DistVR	Stemness	1	0.00293210169578829	0.0272033390582532	0.101245463774534	0.180318457927792	0.202490927549068	0
