a	b	purityCorrection	estimate	pvalue	pvalueIDH	corr.pvalue	corr.pvalueIDH	isSignificant
DistCentroid	lymphocytes	0	-0.000900756977457842	0.334066188060896	0.745184258768384	0.556776980101493	0.745184258768384	0
DistCentroid	m1macro	0	-0.00174819232894071	0.0301225476874811	2.75147531679982e-05	0.100408492291604	0.000275147531679982	1
DistCentroid	microgliamacro	0	-0.00199659704053357	0.0215730175559322	0.0017179511901184	0.100408492291604	0.00572650396706134	1
DistCentroid	granulocyte	0	-0.00272040364115775	0.00828538337950325	0.000601426392288434	0.0828538337950325	0.00300713196144217	1
DistCentroid	endothelial	0	0.000274494192879282	0.755064515315612	0.317752230750902	0.838960572572902	0.453931758215575	0
DistCentroid	astrocytes	0	0.000518480823215999	0.573600240889666	0.0948428375816368	0.717000301112083	0.237107093954092	0
DistCentroid	astrocytes2	0	0.00102053777471545	0.298623183037117	0.152318517847712	0.556776980101493	0.304637035695424	0
DistCentroid	oligodendrocytes	0	0.000156882254349518	0.882820841679609	0.364579442398958	0.882820841679609	0.455724302998698	0
DistCentroid	ependymal	0	0.000777663070271562	0.419078673047216	0.27034307047615	0.59868381863888	0.450571784126917	0
DistCentroid	neuron	0	0.00173491108722455	0.100171758844794	0.632376978904514	0.250429397111985	0.702641087671682	0
DistPeriph	lymphocytes	0	-0.000675686991396659	0.747508262930333	0.141339136157845	0.747508262930333	0.208329365790202	0
DistPeriph	m1macro	0	-0.00215748044075824	0.241431560102025	1.06401908926556e-05	0.553171671763102	0.000106401908926556	1
DistPeriph	microgliamacro	0	0.00441060548229526	0.0243110832137541	0.0748563630475102	0.243110832137541	0.14971272609502	0
DistPeriph	granulocyte	0	0.00312975941912535	0.190165000364545	0.145830556053141	0.553171671763102	0.208329365790202	0
DistPeriph	endothelial	0	0.000665307078136922	0.740770346267611	0.000167209752977031	0.747508262930333	0.000836048764885156	1
DistPeriph	astrocytes	0	-0.00121477016310239	0.558916491300004	0.00878958094688258	0.698645614125005	0.0292986031562753	1
DistPeriph	astrocytes2	0	-0.00225671723064655	0.306847294974581	0.0165902834029237	0.553171671763102	0.0414757085073092	1
DistPeriph	oligodendrocytes	0	0.00155481905935819	0.517228313598202	0.95891673373533	0.698645614125005	0.95891673373533	0
DistPeriph	ependymal	0	-0.00208703183989473	0.331903003057861	0.344531086057158	0.553171671763102	0.430663857571447	0
DistPeriph	neuron	0	-0.00449763904393144	0.0640079520197417	0.69220795258472	0.320039760098708	0.769119947316356	0
DistVR	lymphocytes	0	-9.4938717993443e-05	0.912758742500027	0.372530577401978	0.912758742500027	0.670043474570178	0
DistVR	m1macro	0	-0.00169536606680286	0.0217229673222842	0.0015737557025507	0.0746992933595183	0.0078687785127535	1
DistVR	microgliamacro	0	-0.00341498197226003	1.5190637598184e-05	0.000118231039179133	0.00015190637598184	0.00118231039179133	1
DistVR	granulocyte	0	-0.000595055496658121	0.510212536552395	0.19140803169406	0.637765670690493	0.47852007923515	0
DistVR	endothelial	0	0.000617015363421994	0.44168391915005	0.865826043022643	0.630977027357215	0.865826043022643	0
DistVR	astrocytes	0	0.000754854486645917	0.367861423119891	0.612919973330136	0.613102371866485	0.764787032876279	0
DistVR	astrocytes2	0	0.00141546066954974	0.109564379899984	0.630815748860366	0.219128759799967	0.764787032876279	0
DistVR	oligodendrocytes	0	-0.00186452383523068	0.0491418604817444	0.0472339638207652	0.122854651204361	0.157446546069217	0
DistVR	ependymal	0	0.000115739293071328	0.8983679877899	0.402026084742107	0.912758742500027	0.670043474570178	0
DistVR	neuron	0	0.00217603692107369	0.0224097880078555	0.688308329588652	0.0746992933595183	0.764787032876279	0
