a	b	estimate	pvalue	pvalueIDH	corr.pvalue	corr.pvalueIDH	isSignificant
purity	lymphocytes	0.000786590661658526	0.00601991907582918	0.877096387519737	0.00752489884478648	0.877096387519737	1
purity	m1macro	0.000627328079886235	0.0144197470061895	0.182343390655665	0.0160219411179883	0.260490558079522	1
purity	microgliamacro	-0.000788022128034356	0.00490693544546653	0.00124993074672328	0.0070099077792379	0.00312482686680819	1
purity	granulocyte	-0.000435519788987798	0.170192692397542	0.029045267295788	0.170192692397542	0.0484087788263133	0
purity	endothelial	-0.00147614057174638	7.28334121478579e-09	0.000237552705425197	2.4277804049286e-08	0.000791842351417322	1
purity	astrocytes	-0.00284532890835402	5.12348256787029e-30	0.797578890050375	5.12348256787028e-29	0.877096387519737	1
purity	astrocytes2	-0.00106384122790202	6.78399264930052e-05	1.01334288492463e-05	0.000113066544155009	0.000101334288492463	1
purity	oligodendrocytes	-0.0029616702699944	8.74662014392967e-24	2.28907158913116e-05	4.37331007196483e-23	0.000114453579456558	1
purity	ependymal	0.00163245549240493	1.72018581758464e-07	0.0233524204439515	4.30046454396159e-07	0.046704840887903	1
purity	neuron	-0.00154098314064648	1.82900889776565e-06	0.250306459414113	3.65801779553129e-06	0.312883074267641	1
