a	b	purityCorrection	estimate	pvalue	corr.pvalue	isSignificant
DistCentroid	lymphocytes	0	-0.00105169162795994	0.224459276421843	0.374098794036404	0
DistCentroid	m1macro	0	-0.00207472123852361	0.122008860257888	0.326718417751982	0
DistCentroid	microgliamacro	0	-0.00189328382736452	0.157458103910092	0.326718417751982	0
DistCentroid	granulocyte	0	-0.00280910008216408	0.104809107245149	0.326718417751982	0
DistCentroid	endothelial	0	0.000445142664140511	0.57644188550205	0.720552356877563	0
DistCentroid	astrocytes	0	0.00130135635826834	0.303215257097389	0.433164652996271	0
DistCentroid	astrocytes2	0	0.00141404351719797	0.128443276885504	0.326718417751982	0
DistCentroid	oligodendrocytes	0	0.000349752900234096	0.830064528876934	0.859780332563095	0
DistCentroid	ependymal	0	0.000242458104498191	0.859780332563095	0.859780332563095	0
DistCentroid	neuron	0	0.00187867817388641	0.163359208875991	0.326718417751982	0
DistPeriph	lymphocytes	0	-0.000325300621386493	0.877136544635671	0.877136544635671	0
DistPeriph	m1macro	0	-0.00209512790691175	0.521278724820245	0.837833857509921	0
DistPeriph	microgliamacro	0	0.00766971732535284	0.0146887047335696	0.146887047335696	0
DistPeriph	granulocyte	0	0.00505375966675734	0.232395939306664	0.580989848266661	0
DistPeriph	endothelial	0	-0.000466556029585131	0.813609671469836	0.877136544635671	0
DistPeriph	astrocytes	0	-0.00132538601450808	0.670267086007936	0.837833857509921	0
DistPeriph	astrocytes2	0	-0.00370987730596694	0.108028742704274	0.360095809014247	0
DistPeriph	oligodendrocytes	0	0.0021062735579599	0.592031203001022	0.837833857509921	0
DistPeriph	ependymal	0	-0.0022532997082716	0.495310692813036	0.837833857509921	0
DistPeriph	neuron	0	-0.00598040887043765	0.0676613825323008	0.338306912661504	0
DistVR	lymphocytes	0	0.000163875403169422	0.835771281806639	0.92326646470783	0
DistVR	m1macro	0	-0.0018685951837916	0.132037668742274	0.362155788997062	0
DistVR	microgliamacro	0	-0.00310358938425151	0.0107502409097598	0.107502409097598	0
DistVR	granulocyte	0	-0.000145673048947841	0.92326646470783	0.92326646470783	0
DistVR	endothelial	0	0.000525126850473752	0.452279972700259	0.730208630580779	0
DistVR	astrocytes	0	-0.000196638577372948	0.861264440022845	0.92326646470783	0
DistVR	astrocytes2	0	0.00112639352799924	0.19828358944317	0.396567178886341	0
DistVR	oligodendrocytes	0	-0.00206101652869645	0.144862315598825	0.362155788997062	0
DistVR	ependymal	0	0.000795102086609837	0.511146041406545	0.730208630580779	0
DistVR	neuron	0	0.00239461289482863	0.0574333209706385	0.287166604853192	0
