a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	Angiogenesis	0.00292915376718944	0.0401358925027441	0.0624336105598242	0
purity	Apoptosis	0.00163617976406631	0.144846653068651	0.184350285723737	0
purity	Cell_Cycle	0.0156903849575382	1.52208492253911e-05	5.3272972288869e-05	1
purity	Differentiation	0.000803645275766359	0.312554323786042	0.352120009507831	0
purity	DNA_damage	0.00876999674053594	4.35980781749757e-08	3.0518654722483e-07	1
purity	DNA_repair	0.0106710986205335	2.8235335091126e-08	3.0518654722483e-07	1
purity	EMT	0.0072355013779409	0.00016892308565395	0.000394153866525884	1
purity	Hypoxia	0.0076536113266886	0.05427408043752	0.075983712612528	0
purity	Inflammation	0.00269472549233316	0.326968580257272	0.352120009507831	0
purity	Invasion	0.00661913215293788	0.000482686776781228	0.000965373553562455	1
purity	Metastasis	0.00657081389279934	0.00014698469397468	0.000394153866525884	1
purity	Proliferation	0.00601675550644578	8.00308977735572e-08	3.73477522943267e-07	1
purity	Quiescence	-0.000952484654588472	0.622842543580502	0.622842543580502	0
purity	Stemness	0.00137543985439817	0.00462619188315873	0.00809583579552778	1
