a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	lymphocytes	0.000800316895474762	0.00248005868929276	0.00354294098470394	1
purity	m1macro	0.000699006609025115	0.0944945929587269	0.104993992176363	0
purity	microgliamacro	-0.000721668752467262	0.0760894378837826	0.0951117973547282	0
purity	granulocyte	-0.000285159144476508	0.59653835144133	0.59653835144133	0
purity	endothelial	-0.00162887970838909	3.05799430821203e-11	1.01933143607068e-10	1
purity	astrocytes	-0.00283639693422531	1.88765438697916e-18	1.88765438697916e-17	1
purity	astrocytes2	-0.00100098291338836	0.000822459209936361	0.00137076534989394	1
purity	oligodendrocytes	-0.00306357637244089	8.21791469353945e-13	4.10895734676973e-12	1
purity	ependymal	0.0016605150435375	3.78903280760112e-05	9.4725820190028e-05	1
purity	neuron	-0.00159039214560495	0.000164169425136512	0.000328338850273023	1
