a	b	purityCorrection	estimate	pvalue	corr.pvalue	isSignificant
DistCentroid	Angiogenesis	0	0.00309374557822711	0.167727830792364	0.582924903762409	0
DistCentroid	Apoptosis	0	-0.00356752423381704	0.0291301062764638	0.407821487870493	0
DistCentroid	Cell_Cycle	1	0.00440832838486199	0.431736288947849	0.786769011552423	0
DistCentroid	Differentiation	0	-0.00144213768360161	0.262487085887675	0.612469867071243	0
DistCentroid	DNA_damage	1	8.23819560345634e-05	0.974611293951979	0.974611293951979	0
DistCentroid	DNA_repair	1	-0.000228126077163135	0.945881978051377	0.974611293951979	0
DistCentroid	EMT	1	0.000302430762582378	0.909645935856507	0.974611293951979	0
DistCentroid	Hypoxia	0	-0.00138887472694409	0.787022840867347	0.974611293951979	0
DistCentroid	Inflammation	0	-0.00447801361550181	0.205122376735226	0.582924903762409	0
DistCentroid	Invasion	1	0.000206485241342626	0.940427980551287	0.974611293951979	0
DistCentroid	Metastasis	1	-0.000137918048638479	0.952455105455989	0.974611293951979	0
DistCentroid	Proliferation	1	-0.00231652931649018	0.208187465629432	0.582924903762409	0
DistCentroid	Quiescence	1	-0.00356966311430278	0.161659953579691	0.582924903762409	0
DistCentroid	Stemness	1	-0.000731004399362016	0.44958229231567	0.786769011552423	0
DistPeriph	Angiogenesis	0	-0.00039811220248845	0.930868988702748	0.972431674140681	0
DistPeriph	Apoptosis	0	0.00308710426963423	0.358869295284447	0.972431674140681	0
DistPeriph	Cell_Cycle	1	-0.00704255996645151	0.539495567524926	0.972431674140681	0
DistPeriph	Differentiation	0	0.00248623706548107	0.344299145839016	0.972431674140681	0
DistPeriph	DNA_damage	1	-0.000556030250290145	0.916293006375241	0.972431674140681	0
DistPeriph	DNA_repair	1	0.00144603492784866	0.833041415918964	0.972431674140681	0
DistPeriph	EMT	1	0.0014813215533015	0.785795280639889	0.972431674140681	0
DistPeriph	Hypoxia	0	-0.00197173402268831	0.850948310849125	0.972431674140681	0
DistPeriph	Inflammation	0	0.00195416622043776	0.787340480757453	0.972431674140681	0
DistPeriph	Invasion	1	0.000377616656814267	0.946764785955709	0.972431674140681	0
DistPeriph	Metastasis	1	0.00211414615342277	0.65490075188374	0.972431674140681	0
DistPeriph	Proliferation	1	0.0036592473800391	0.330894076728902	0.972431674140681	0
DistPeriph	Quiescence	1	-0.000180812869608016	0.972431674140681	0.972431674140681	0
DistPeriph	Stemness	1	0.00212772295500269	0.279662427408774	0.972431674140681	0
DistVR	Angiogenesis	0	0.0019081544648669	0.309933050934908	0.723177118848119	0
DistVR	Apoptosis	0	-0.00432835057211389	0.00156311192440777	0.0218835669417088	1
DistVR	Cell_Cycle	1	0.0052413006134623	0.27223135975106	0.723177118848119	0
DistVR	Differentiation	0	-0.00177300165847206	0.10078546815531	0.705498277087172	0
DistVR	DNA_damage	1	0.000697553482509299	0.750627279811627	0.902618705331555	0
DistVR	DNA_repair	1	0.000816026313776489	0.773673175998475	0.902618705331555	0
DistVR	EMT	1	-0.000328705883515443	0.885177779655472	0.953268378090508	0
DistVR	Hypoxia	0	0.00013375817541128	0.975177193850592	0.975177193850592	0
DistVR	Inflammation	0	-0.00154168571191596	0.605808054412594	0.902618705331555	0
DistVR	Invasion	1	-0.00264661958296412	0.262155133454964	0.723177118848119	0
DistVR	Metastasis	1	-0.000877984139011852	0.656972581573537	0.902618705331555	0
DistVR	Proliferation	1	-0.00192958627347729	0.217312368845024	0.723177118848119	0
DistVR	Quiescence	1	-0.00126879832964201	0.559024149268358	0.902618705331555	0
DistVR	Stemness	1	0.000471829859796224	0.562089586277787	0.902618705331555	0
