a	b	purityCorrection	estimate	pvalue	corr.pvalue	isSignificant
DistCentroid	lymphocytes	0	-1.58344786512342e-05	0.980048879816352	0.980048879816352	0
DistCentroid	m1macro	0	-0.000755969630337742	0.186924127995345	0.302839808856906	0
DistCentroid	microgliamacro	0	-0.00107864949837475	0.07039572266414	0.234652408880467	0
DistCentroid	granulocyte	0	-0.000926869391614046	0.210486682697032	0.302839808856906	0
DistCentroid	endothelial	0	0.00140621228926552	0.0230556784016593	0.115278392008296	0
DistCentroid	astrocytes	0	0.00078927311622484	0.211987866199834	0.302839808856906	0
DistCentroid	astrocytes2	0	0.00104362420049807	0.122210622759336	0.302839808856906	0
DistCentroid	oligodendrocytes	0	0.0006056346748552	0.400692181067085	0.500865226333857	0
DistCentroid	ependymal	0	-0.000387371953987936	0.551359504621091	0.612621671801212	0
DistCentroid	neuron	0	0.00169588693994336	0.0194547579048834	0.115278392008296	0
DistPeriph	lymphocytes	0	0.000141085207206886	0.912998048110949	0.994760104490598	0
DistPeriph	m1macro	0	-0.000890191971942486	0.4481324082692	0.746887347115333	0
DistPeriph	microgliamacro	0	0.00128559963342419	0.292412819824423	0.731032049561058	0
DistPeriph	granulocyte	0	9.8785447996365e-06	0.994760104490598	0.994760104490598	0
DistPeriph	endothelial	0	-0.0015153169037144	0.232925167815974	0.731032049561058	0
DistPeriph	astrocytes	0	-0.00110962661725833	0.389877102138822	0.746887347115333	0
DistPeriph	astrocytes2	0	-0.00231870353531243	0.0913973186993924	0.456986593496962	0
DistPeriph	oligodendrocytes	0	-0.000653452114261264	0.655397667336093	0.819247084170116	0
DistPeriph	ependymal	0	0.000786729257757627	0.55294852906008	0.789926470085829	0
DistPeriph	neuron	0	-0.00291050209046336	0.0478809576906614	0.456986593496962	0
DistVR	lymphocytes	0	-0.000301867552689639	0.567499318402346	0.630554798224829	0
DistVR	m1macro	0	-0.000742813355498168	0.120744800820656	0.201241334701093	0
DistVR	microgliamacro	0	-0.00162362155155712	0.000982734038727405	0.00491367019363703	1
DistVR	granulocyte	0	-0.000120990991088539	0.841992945019709	0.841992945019709	0
DistVR	endothelial	0	0.00135792319106306	0.0085486064902827	0.0213715162257068	1
DistVR	astrocytes	0	0.0011733574463929	0.0257283802770813	0.0514567605541625	0
DistVR	astrocytes2	0	0.00170487068798595	0.0021096272244943	0.00703209074831435	1
DistVR	oligodendrocytes	0	-0.000456737785068741	0.440223262396855	0.550279077996069	0
DistVR	ependymal	0	-0.00055625563256897	0.305091886088537	0.435845551555052	0
DistVR	neuron	0	0.0020349661362953	0.000589780013155469	0.00491367019363703	1
