Patient	SampleName	lymphocytes	m1macro	microgliamacro	granulocyte	endothelial	astrocytes	astrocytes2	oligodendrocytes	ependymal	neuron	Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
P260v1	P260	v1	-0.007009126	-0.053520888	-0.04833536	-0.027827666	0.009224159	0.002726556	0.037594218	-0.026009431	-0.061274681	0.076590617	-0.189340520437013	-0.231504175185067	0.713192745570683	-0.169234072077771	0.107037609379273	0.213557576996784	-0.146252370116527	-0.307962029672379	-0.371005621420413	-0.176155325380572	-0.193791653946381	-0.060251343013254	-0.147276693315316	-0.0352616335532142
P260v10	P260	v10	-0.015739036	-0.03563791	-0.034851543	-0.025580859	-0.061476731	-0.063223163	-0.082159905	-0.029150108	-0.068861674	-0.025423057	0.163017806565861	0.0540066549294999	1.90105559387887	-0.0141425748490606	0.674716350130348	1.07973220102221	0.150285759531084	-0.315097233891883	-0.265168601768399	0.161313436418862	0.0311362975617212	0.29478500280823	-0.0911614933333284	0.10007022583875
P260v11	P260	v11	-0.080354136	-0.053564725	-0.049702301	-0.031702065	0.161856791	0.103567974	0.190333145	0.011037348	-0.038168871	0.208263148	0.19926820581445	-0.0860986078479761	-0.542469878932226	0.125009652421337	-0.359482115190215	-0.580506868526965	-0.12475176712312	0.0661855805290191	-0.181994479636836	-0.270965591961872	-0.0917925579844514	-0.181744804497567	0.0766904510885043	0.0126905126324241
P260v12	P260	v12	-0.01061589	-0.053215339	-0.055955401	-0.032655702	-0.073647496	-0.065828733	-0.085570881	-0.046975265	-0.073440007	-0.014135488	0.0940110526385693	0.143181703721934	2.29009620713714	0.16900023781192	1.05819129714096	1.43058286957178	0.369995005429271	-0.16064504381851	-0.340459275939593	0.339197557357538	0.235319856860506	0.57497715061848	-0.0434681495147215	0.295795202908567
P260v13	P260	v13	0.016108211	-0.059269116	-0.066078312	-0.028447645	-0.06873073	-0.053636542	-0.086200964	-0.049191517	-0.074863913	-0.009241165	0.126984917357363	0.0604738269835367	1.99270005877973	0.127697174529887	0.905990884667759	1.22833228879213	0.307746505057139	-0.0358602266911233	-0.363579909580126	0.295560180735616	0.336356664256163	0.498504611201487	-0.050615623759421	0.302407430947298
P260v14	P260	v14	0.078977981	-0.061666828	-0.074315677	-0.028408514	-0.081921949	-0.04179149	-0.08568188	-0.049229428	-0.072878644	-0.00890933	-0.0300277700324868	0.0253674748921629	2.07469687971286	0.0953637935782008	0.909875247244919	1.24359530550234	0.10809077241353	-0.00642948258339358	-0.393555652270393	0.0927014595756192	0.0701459181737921	0.459740173365423	-0.0901888557951026	0.296853635195201
P260v15	P260	v15	-0.04940759	-0.053210715	-0.048285237	-0.029731333	0.088783425	0.04963825	0.124788698	0.012021069	-0.061797672	0.094628065	0.0708823700274621	-0.182826458700057	0.0489016617627945	-0.0222022366500815	-0.161407879281816	-0.277729258833857	-0.166365589490016	-0.0779740445799603	-0.228473781884777	-0.242238163781354	-0.106897592017266	-0.134870351236878	-0.0500617056960676	-0.00875521157882327
P260v17	P260	v17	-0.069294577	-0.05177034	-0.04418687	-0.030443229	0.059054979	0.081177173	0.119688862	0.038765588	-0.042701997	0.172573461	-0.228444250872939	-0.121397562102914	-0.487199630721198	-0.083790201409889	-0.362539018039229	-0.439367967324192	-0.313009877687326	-0.0847221043371013	-0.289839379981338	-0.326772694496554	-0.286623208354356	-0.332871601008471	-0.115504909517755	-0.0892184663199449
P260v18	P260	v18	0.022390709	-0.065540792	-0.077711111	-0.025970553	-0.066003571	-0.055180757	-0.082245342	-0.052403171	-0.049511427	-0.002838738	-0.0482859794874395	0.0380793358966564	2.01344430464285	0.0771393465858552	0.95084640329088	1.28356371308927	0.113742355412486	0.13804784313558	-0.412694448508134	0.156742953460602	0.0936810837063922	0.57416711359804	-0.118065908692999	0.320630034550323
P260v19	P260	v19	-0.00519504	-0.057307321	-0.062587755	-0.029479921	-0.034711395	-0.06294154	-0.082821401	-0.013223706	-0.076856663	-0.022953102	0.0533153804616557	0.0590876922118179	2.8415798643489	0.0472136772938328	1.1341273961919	1.60561023759964	0.293931271976316	-0.419754350927672	-0.405898220219426	0.320280329945974	0.110868178091581	0.583412984941592	-0.181819870130548	0.226222578826356
P260v2	P260	v2	-0.065081876	-0.049151979	-0.060655557	-0.030614355	-0.036364709	-0.036985701	-0.041678757	-0.021564324	-0.068809546	0.028737976	-0.0529102411716869	-0.103205172127809	1.59007494137704	-0.110080265927625	0.480597401139126	0.837058135732233	0.0274691684908007	-0.354684212168623	-0.373689188786362	-0.11429016957018	-0.157618169021619	0.130608055342578	-0.126155551876551	0.00414467665836579
P260v20	P260	v20	-0.027224595	-0.049380531	-0.043532813	-0.029079184	0.054025149	0.000594727	-0.015511337	0.076660475	-0.059302818	-0.009000367	-0.205965445494055	-0.282927791586417	0.753352570763215	-0.170975541064253	0.0689287618857564	0.179423831713808	-0.153541141263769	-0.348970693359995	-0.347497402500502	-0.14571743131691	-0.174427693391905	-0.0467266107178019	-0.0622438988899674	0.0255057842436433
