a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	lymphocytes	0.00107058347448996	4.96754438483268e-08	8.27924064138779e-08	1
purity	m1macro	0.000188047828718862	0.317404349681297	0.317404349681297	0
purity	microgliamacro	-0.000479725998864551	0.0135015248135571	0.0168769060169464	1
purity	granulocyte	-0.000379180617846983	0.0957005030599982	0.106333892288887	0
purity	endothelial	-0.0015350261078638	1.65853995939171e-16	5.52846653130571e-16	1
purity	astrocytes	-0.00182161867790552	6.58346252653723e-24	6.58346252653723e-23	1
purity	astrocytes2	-0.00139795625712176	1.12852262167996e-11	2.82130655419989e-11	1
purity	oligodendrocytes	-0.00184247184717097	1.37361266793317e-19	6.86806333966584e-19	1
purity	ependymal	0.000712537982092593	0.000646980374653334	0.000924257678076191	1
purity	neuron	-0.00142879100983638	1.55180690994661e-10	3.10361381989322e-10	1
