a	b	estimate	pvalue	corr.pvalue	isSignificant
purity	totalSNVsCalled	48.4276200665705	3.17382713183517e-09	9.8741288545983e-09	1
purity	DistCentroid	-3.30943847968806	0.170386921254173	0.216856081596221	0
purity	DistPeriph	1.22846850245052	0.312492781000719	0.355492871643104	0
purity	DistVR	-4.97783098089208	0.102594615498301	0.143632461697621	0
purity	lymphocytes	0.107058347449003	4.9675443860734e-08	1.26446584372777e-07	1
purity	m1macro	0.0188047828718841	0.317404349681343	0.355492871643104	0
purity	microgliamacro	-0.0479725998864157	0.0135015248136901	0.0236276684239577	1
purity	granulocyte	-0.0379180617846684	0.0957005030598296	0.141032320298696	0
purity	endothelial	-0.153502610786374	1.65853995702401e-16	1.54797062655574e-15	1
purity	astrocytes	-0.182161867790529	6.58346253405336e-24	1.84336950953494e-22	1
purity	astrocytes2	-0.139795625710749	1.12852262196211e-11	5.26643890248984e-11	1
purity	oligodendrocytes	-0.184247184717108	1.37361267628095e-19	1.92305774679333e-18	1
purity	ependymal	0.0712537982090039	0.000646980374672193	0.00120769669938809	1
purity	neuron	-0.142879100983621	1.5518069122835e-10	6.207227649134e-10	1
purity	Angiogenesis	0.037667249441358	0.609296440176253	0.631862974997595	0
purity	Apoptosis	0.0841671962788967	0.123833422441224	0.165111229921632	0
purity	Cell_Cycle	1.12385732328212	1.04862237243423e-08	2.93614264281585e-08	1
purity	Differentiation	-0.0517678374299108	0.226421987899998	0.275644159182606	0
purity	DNA_damage	0.647414848593266	2.16202480581077e-12	1.21073389125403e-11	1
purity	DNA_repair	0.881653758580201	1.76744281641924e-13	1.23720997149347e-12	1
purity	EMT	0.353475500838111	0.000102392963376518	0.000220538690349423	1
purity	Hypoxia	0.122025135153155	0.467795239226221	0.503779488397469	0
purity	Inflammation	-0.0253132295451487	0.830461783310046	0.830461783310046	0
purity	Invasion	0.399398868799529	2.66914015275521e-05	6.22799368976215e-05	1
purity	Metastasis	0.29933911907216	0.000151288668257627	0.000302577336515254	1
purity	Proliferation	0.396231006392329	8.9790374187455e-10	3.14266309656092e-09	1
purity	Quiescence	-0.202354972097823	0.0173818014134583	0.0277540620605598	1
purity	Stemness	0.0750897781785546	0.0178418970389313	0.0277540620605598	1
