"variable"	"Wilcox"	"adj.p"
"microgliamacro"	0.00332167832167832	0.0110722610722611
"m1macro"	0.000699300699300699	0.0034965034965035
"ependymal"	0.407867132867133	0.521950271950272
"astrocytes"	0.210489510489511	0.420979020979021
"lymphocytes"	0.469755244755245	0.521950271950272
"endothelial"	0.469755244755245	0.521950271950272
"granulocyte"	0.000174825174825175	0.00174825174825175
"oligodendrocytes"	0.680594405594406	0.680594405594406
"astrocytes2"	0.114160839160839	0.285402097902098
"neuron"	0.299125874125874	0.498543123543124
