"variable"	"Wilcox"	"adj.p"
"microgliamacro"	0.00332167832167832	0.00664335664335664
"m1macro"	0.00034965034965035	0.00174825174825175
"ependymal"	0.918181818181818	0.918181818181818
"astrocytes"	0.000699300699300699	0.00174825174825175
"lymphocytes"	0.0229020979020979	0.0286276223776224
"endothelial"	0.000699300699300699	0.00174825174825175
"granulocyte"	0.000174825174825175	0.00174825174825175
"oligodendrocytes"	0.351048951048951	0.39005439005439
"astrocytes2"	0.0164335664335664	0.0234765234765235
"neuron"	0.0115384615384615	0.0192307692307692
